County & State,School Year,County Code,State ANSI Code,21-22 Enrollment,19-20 Enrollment,19-20 to 21-22 Enrollment % Change,19-20 to 21-22 Enrollment Change,19-20 to 21-22 Enrollment Change Rank,19-20 to 21-22 Enrollment Change Percentile,19-20 to 21-22 Enrollment % Change Rank,19-20 to 21-22 Enrollment % Change Percentile,17-18 Enrollment,17-18 to 21-22 Enrollment % Change,17-18 to 21-22 Enrollment Change,17-18 to 21-22 Enrollment Change Rank,17-18 to 21-22 Enrollment Change Percentile,17-18 to 21-22 Enrollment % Change Rank,17-18 to 21-22 Enrollment % Change Percentile,11-12 Enrollment,11-12 to 21-22 Enrollment % Change,11-12 to 21-22 Enrollment Change,11-12 to 21-22 Enrollment Change Rank,11-12 to 21-22 Enrollment Change Percentile,11-12 to 21-22 Enrollment % Change Rank,11-12 to 21-22 Enrollment % Change Percentile
"Alexandria City, VA",21-22,510,51,2062,2055.0,0.3406326034063323,7.0,478.0,54.87228003784295,556.0,47.49290444654683,2064.0,-0.09689922480620172,-2.0,489.0,54.646840148698885,477.0,55.762081784386616,2100.0,-1.8095238095238053,-38.0,526.0,52.44565217391305,370.0,66.57608695652173
"Allegan County, MI",21-22,5,26,227,117.0,94.01709401709401,110.0,219.0,79.3755912961211,45.0,95.83727530747397,235.0,-3.404255319148941,-8.0,534.0,50.46468401486989,539.0,50.0,324.0,-29.938271604938272,-97.0,686.0,37.95289855072464,784.0,29.076086956521742
"Allegany County, MD",21-22,1,24,343,405.0,-15.308641975308646,-62.0,849.0,19.77294228949858,845.0,20.151371807000945,354.0,-3.1073446327683607,-11.0,550.0,48.97769516728624,534.0,50.46468401486989,419.0,-18.138424821002385,-76.0,640.0,42.119565217391305,612.0,44.655797101449274
"Allegany County, NY",21-22,3,36,76,136.0,-44.11764705882353,-60.0,844.0,20.245979186376537,1019.0,3.6896877956480605,133.0,-42.85714285714286,-57.0,724.0,32.806691449814124,999.0,7.24907063197026,166.0,-54.216867469879524,-90.0,672.0,39.221014492753625,1029.0,6.884057971014493
"Allegheny County, PA",21-22,3,42,8144,10087.0,-19.262416972340635,-1943.0,1052.0,0.5676442762535477,887.0,16.177861873226114,10232.0,-20.406567630961693,-2088.0,1053.0,2.2304832713754648,811.0,24.721189591078065,14103.0,-42.25342125788839,-5959.0,1094.0,0.9963768115942028,927.0,16.1231884057971
"Allen County, IN",21-22,3,18,5383,4930.0,9.188640973630836,453.0,91.0,91.48533585619678,377.0,64.42762535477767,5667.0,-5.011469913534494,-284.0,903.0,16.171003717472118,570.0,47.11895910780669,5824.0,-7.572115384615385,-441.0,890.0,19.47463768115942,446.0,59.69202898550725
"Allen County, OH",21-22,3,39,981,1613.0,-39.18164910105394,-632.0,1009.0,4.635761589403973,1003.0,5.203405865657521,1493.0,-34.29336905559277,-512.0,956.0,11.245353159851302,937.0,13.011152416356877,2026.0,-51.579466929911156,-1045.0,990.0,10.416666666666668,1011.0,8.51449275362319
"Alpena County, MI",21-22,7,26,74,133.0,-44.360902255639104,-59.0,841.0,20.52980132450331,1022.0,3.405865657521287,117.0,-36.75213675213676,-43.0,691.0,35.87360594795539,952.0,11.617100371747211,105.0,-29.52380952380952,-31.0,491.0,55.61594202898551,780.0,29.438405797101446
"Anchorage Municipality, AK",21-22,20,2,451,372.0,21.23655913978495,79.0,256.0,75.87511825922422,239.0,77.48344370860927,368.0,22.55434782608696,83.0,196.0,81.87732342007436,205.0,81.04089219330855,331.0,36.253776435045324,120.0,95.0,91.48550724637681,118.0,89.40217391304348
"Anderson County, KS",21-22,3,20,107,105.0,1.904761904761898,2.0,541.0,48.912015137180695,515.0,51.37180700094608,82.0,30.487804878048784,25.0,306.0,71.6542750929368,164.0,84.85130111524164,65.0,64.61538461538461,42.0,176.0,84.14855072463769,53.0,95.28985507246377
"Anderson County, SC",21-22,7,45,98,57.0,71.9298245614035,41.0,309.0,70.86092715231787,73.0,93.18826868495744,,,,,,,,90.0,8.888888888888879,8.0,299.0,73.0072463768116,256.0,76.90217391304348
"Anderson County, TN",21-22,1,47,196,179.0,9.49720670391061,17.0,403.0,61.9678334910123,374.0,64.71144749290445,186.0,5.376344086021501,10.0,385.0,64.31226765799256,380.0,64.77695167286245,206.0,-4.854368932038833,-10.0,390.0,64.76449275362319,406.0,63.315217391304344
"Androscoggin County, ME",21-22,1,23,696,431.0,61.48491879350348,265.0,135.0,87.32261116367077,88.0,91.76915799432356,524.0,32.82442748091603,172.0,134.0,87.63940520446096,158.0,85.40892193308551,563.0,23.6234458259325,133.0,90.0,91.93840579710145,160.0,85.59782608695652
"Angelina County, TX",21-22,5,48,85,62.0,37.09677419354838,23.0,373.0,64.80605487228004,144.0,86.47114474929045,79.0,7.594936708860756,6.0,418.0,61.2453531598513,352.0,67.37918215613384,90.0,-5.555555555555558,-5.0,370.0,66.57608695652173,416.0,62.40942028985508
"Anne Arundel County, MD",21-22,3,24,5538,6743.0,-17.870384102031732,-1205.0,1042.0,1.5137180700094608,870.0,17.786187322611163,5653.0,-2.0343180612064415,-115.0,808.0,25.0,515.0,52.23048327137546,5269.0,5.105333080280894,269.0,47.0,95.83333333333334,284.0,74.36594202898551
"Anoka County, MN",21-22,3,27,1672,873.0,91.52348224513173,799.0,44.0,95.93188268684958,47.0,95.6480605487228,1786.0,-6.382978723404253,-114.0,807.0,25.092936802973973,595.0,44.795539033457246,1930.0,-13.367875647668392,-258.0,812.0,26.53985507246377,547.0,50.54347826086957
"Antelope County, NE",21-22,3,31,127,132.0,-3.7878787878787845,-5.0,606.0,42.762535477767265,645.0,39.0728476821192,131.0,-3.053435114503822,-4.0,502.0,53.438661710037174,532.0,50.65055762081785,150.0,-15.333333333333332,-23.0,455.0,58.87681159420289,573.0,48.188405797101446
"Aransas County, TX",21-22,7,48,108,,,,,,,,,,,,,,,144.0,-25.0,-36.0,517.0,53.2608695652174,714.0,35.41666666666667
"Arapahoe County, CO",21-22,5,8,4514,4073.0,10.827399950896144,441.0,92.0,91.3907284768212,358.0,66.22516556291392,3073.0,46.89228766677513,1441.0,7.0,99.44237918215613,111.0,89.77695167286245,4599.0,-1.8482278756251413,-85.0,660.0,40.30797101449276,372.0,66.39492753623189
"Arkansas County, AR",21-22,1,5,109,,,,,,,,,,,,,,,52.0,109.61538461538463,57.0,151.0,86.41304347826086,19.0,98.36956521739131
"Arlington County, VA",21-22,13,51,2373,1778.0,33.464566929133866,595.0,66.0,93.85052034058657,163.0,84.67360454115422,871.0,172.44546498277842,1502.0,6.0,99.53531598513011,25.0,97.76951672862454,2397.0,-1.0012515644555742,-24.0,461.0,58.333333333333336,361.0,67.3913043478261
"Armstrong County, PA",21-22,5,42,271,242.0,11.983471074380159,29.0,349.0,67.07663197729423,340.0,67.92809839167455,252.0,7.539682539682535,19.0,335.0,68.95910780669145,353.0,67.28624535315984,156.0,73.71794871794873,115.0,99.0,91.12318840579711,45.0,96.01449275362319
"Ascension Parish, LA",21-22,5,22,413,405.0,1.975308641975304,8.0,469.0,55.723746452223274,513.0,51.561021759697255,825.0,-49.93939393939394,-412.0,939.0,12.825278810408921,1021.0,5.204460966542751,1041.0,-60.326609029779064,-628.0,937.0,15.217391304347828,1058.0,4.257246376811595
"Ashland County, OH",21-22,5,39,105,141.0,-25.531914893617024,-36.0,784.0,25.922421948912017,933.0,11.825922421948912,172.0,-38.95348837209303,-67.0,748.0,30.576208178438662,971.0,9.851301115241636,143.0,-26.573426573426573,-38.0,526.0,52.44565217391305,735.0,33.51449275362319
"Ashland County, WI",21-22,3,55,124,127.0,-2.3622047244094446,-3.0,590.0,44.276253547776726,612.0,42.19489120151372,125.0,-0.8000000000000007,-1.0,477.0,55.762081784386616,486.0,54.92565055762082,161.0,-22.981366459627328,-37.0,520.0,52.9891304347826,678.0,38.677536231884055
"Ashtabula County, OH",21-22,7,39,496,,,,,,,,404.0,22.77227722772277,92.0,189.0,82.5278810408922,203.0,81.22676579925651,673.0,-26.3001485884101,-177.0,771.0,30.253623188405797,732.0,33.78623188405797
"Asotin County, WA",21-22,3,53,152,122.0,24.590163934426236,30.0,344.0,67.54966887417218,208.0,80.4162724692526,126.0,20.63492063492063,26.0,304.0,71.84014869888475,219.0,79.73977695167285,117.0,29.91452991452992,35.0,198.0,82.15579710144928,137.0,87.68115942028986
