Diocese,School Year,21-22 Enrollment,19-20 Enrollment,19-20 to 21-22 Enrollment % Change,19-20 to 21-22 Enrollment Change,19-20 to 21-22 Enrollment Change Rank,19-20 to 21-22 Enrollment Change Percentile,19-20 to 21-22 Enrollment % Change Rank,19-20 to 21-22 Enrollment % Change Percentile,17-18 Enrollment,17-18 to 21-22 Enrollment % Change,17-18 to 21-22 Enrollment Change,17-18 to 21-22 Enrollment Change Rank,17-18 to 21-22 Enrollment Change Percentile,17-18 to 21-22 Enrollment % Change Rank,17-18 to 21-22 Enrollment % Change Percentile,11-12 Enrollment,11-12 to 21-22 Enrollment % Change,11-12 to 21-22 Enrollment Change,11-12 to 21-22 Enrollment Change Rank,11-12 to 21-22 Enrollment Change Percentile,11-12 to 21-22 Enrollment % Change Rank,11-12 to 21-22 Enrollment % Change Percentile
"Miami, FL",21-22,30441,32326,-5.831219451834436,-1885,168.0,4.571428571428571,134.0,24.0,32697,-6.899715570235799,-2256,146.0,17.142857142857142,92.0,48.0,33395,-8.84563557418775,-2954,130.0,26.285714285714285,48.0,73.14285714285714
"Milwaukee, WI",21-22,26570,27368,-2.9158140894475326,-798,153.0,13.142857142857142,121.0,31.428571428571427,26794,-0.8360080615063104,-224,89.0,49.714285714285715,73.0,58.857142857142854,31304,-15.122668029644771,-4734,151.0,14.285714285714285,63.0,64.57142857142857
"Mobile, AL",21-22,4884,4613,5.874701929330151,271,84.0,52.57142857142857,82.0,53.714285714285715,5516,-11.457577955039888,-632,110.0,37.714285714285715,106.0,40.0,6185,-21.03476151980598,-1301,88.0,50.28571428571429,92.0,48.0
"Monterey, CA",21-22,4110,3390,21.238938053097357,720,49.0,72.57142857142857,30.0,83.42857142857143,4507,-8.808520079875748,-397,98.0,44.57142857142857,103.0,41.714285714285715,4390,-6.378132118451029,-280,43.0,76.0,40.0,77.71428571428571
"Nashville, TN",21-22,5212,4996,4.32345876701361,216,89.0,49.714285714285715,91.0,48.57142857142857,5045,3.3102081268582717,167,51.0,71.42857142857143,59.0,66.85714285714286,5219,-0.13412531136233197,-7,31.0,82.85714285714286,31.0,82.85714285714286
"New Orleans, LA",21-22,23290,25258,-7.7915907831182185,-1968,169.0,4.0,137.0,22.285714285714285,29213,-20.275219936329712,-5923,170.0,3.428571428571429,137.0,22.285714285714285,33947,-31.393053878104105,-10657,166.0,5.714285714285714,125.0,29.142857142857142
"New Ulm, MN",21-22,1670,1977,-15.52857865452706,-307,131.0,25.71428571428571,151.0,14.285714285714285,2213,-24.536827835517393,-543,105.0,40.57142857142857,152.0,13.714285714285715,2236,-25.313059033989273,-566,58.0,67.42857142857143,110.0,37.714285714285715
"New York, NY",21-22,39031,40417,-3.429250068040679,-1386,162.0,8.0,125.0,29.142857142857142,47967,-18.629474430337524,-8936,173.0,1.7142857142857144,131.0,25.71428571428571,65500,-40.41068702290076,-26469,174.0,1.1428571428571428,148.0,16.0
"Newark, NJ",21-22,17082,19236,-11.197754210854649,-2154,170.0,3.428571428571429,143.0,18.857142857142858,23534,-27.415653947480244,-6452,172.0,2.2857142857142856,160.0,9.142857142857142,31959,-46.55026753027316,-14877,170.0,3.428571428571429,163.0,7.428571428571429
"Norwich, CT",21-22,3192,2368,34.797297297297305,824,43.0,76.0,12.0,93.71428571428572,2720,17.352941176470594,472,23.0,87.42857142857143,20.0,89.14285714285714,4871,-34.46930815027716,-1679,98.0,44.57142857142857,135.0,23.42857142857143
"Oakland, CA",21-22,14165,13805,2.6077508149221273,360,75.0,57.714285714285715,99.0,44.0,14308,-0.99944087223931,-143,82.0,53.714285714285715,75.0,57.714285714285715,16764,-15.50345979479838,-2599,120.0,32.0,65.0,63.42857142857142
"Ogdensburg, NY",21-22,1294,1187,9.014321819713555,107,95.0,46.285714285714285,68.0,61.71428571428571,1714,-24.504084014002338,-420,102.0,42.285714285714285,151.0,14.285714285714285,2256,-42.64184397163121,-962,79.0,55.42857142857143,155.0,12.0
"Oklahoma City, OK",21-22,2383,3981,-40.14066817382567,-1598,165.0,6.2857142857142865,174.0,1.1428571428571428,4279,-44.30941808833839,-1896,137.0,22.285714285714285,174.0,1.1428571428571428,5233,-54.46206764762087,-2850,127.0,28.000000000000004,173.0,1.7142857142857144
"Omaha, NE",21-22,14878,13536,9.914302600472812,1342,25.0,86.28571428571429,65.0,63.42857142857142,17619,-15.557069073159656,-2741,154.0,12.571428571428573,119.0,32.57142857142858,19184,-22.44578815679733,-4306,147.0,16.57142857142857,100.0,43.42857142857143
"Orange, CA",21-22,13208,12056,9.555408095554085,1152,29.0,84.0,66.0,62.857142857142854,17311,-23.701692565420828,-4103,165.0,6.2857142857142865,147.0,16.57142857142857,19604,-32.62599469496021,-6396,156.0,11.428571428571429,130.0,26.285714285714285
"Orlando, FL",21-22,11913,13445,-11.394570472294529,-1532,164.0,6.857142857142858,145.0,17.71428571428571,13003,-8.382680919787743,-1090,124.0,29.714285714285715,95.0,46.285714285714285,13167,-9.523809523809524,-1254,85.0,52.0,50.0,72.0
"Owensboro, KY",21-22,3483,3344,4.1566985645933086,139,91.0,48.57142857142857,94.0,46.85714285714286,3047,14.309156547423685,436,30.0,83.42857142857143,26.0,85.71428571428571,4374,-20.370370370370374,-891,77.0,56.57142857142857,88.0,50.28571428571429
"Palm Beach, FL",21-22,5023,4000,25.574999999999992,1023,31.0,82.85714285714286,24.0,86.85714285714286,4402,14.107223989095875,621,21.0,88.57142857142857,27.0,85.14285714285714,5014,0.17949740725966556,9,30.0,83.42857142857143,30.0,83.42857142857143
"Paterson, NJ",21-22,6192,6854,-9.658593522030934,-662,148.0,16.0,139.0,21.142857142857142,6413,-3.446125058474969,-221,88.0,50.28571428571429,83.0,53.142857142857146,11421,-45.78408195429472,-5229,153.0,13.142857142857142,160.0,9.142857142857142
"Pensacola-Tallahassee, FL",21-22,3046,2720,11.985294117647062,326,79.0,55.42857142857143,54.0,69.71428571428572,2784,9.410919540229878,262,43.0,76.0,32.0,82.28571428571428,2493,22.182109907741676,553,13.0,93.14285714285714,11.0,94.28571428571428
"Peoria, IL",21-22,9507,8903,6.784230034819716,604,55.0,69.14285714285714,76.0,57.14285714285714,10181,-6.6201748354778545,-674,115.0,34.85714285714286,91.0,48.57142857142857,10718,-11.298749766747529,-1211,83.0,53.142857142857146,59.0,66.85714285714286
"Philadelphia, PA",21-22,44957,47903,-6.149927979458491,-2946,173.0,1.7142857142857144,135.0,23.42857142857143,48013,-6.364942827984088,-3056,158.0,10.285714285714285,90.0,49.142857142857146,67346,-33.24473613874618,-22389,173.0,1.7142857142857144,133.0,24.571428571428573
"Phoenix, AZ",21-22,14420,11991,20.256859311150023,2429,8.0,96.0,33.0,81.71428571428572,13115,9.950438429279451,1305,9.0,95.42857142857143,31.0,82.85714285714286,13978,3.1621118901130396,442,15.0,92.0,27.0,85.14285714285714
"Pittsburgh, PA",21-22,10374,12962,-19.966054621200435,-2588,171.0,2.857142857142857,162.0,8.0,12620,-17.797147385103006,-2246,145.0,17.71428571428571,128.0,27.42857142857143,17002,-38.98364898247265,-6628,158.0,10.285714285714285,146.0,17.142857142857142
"Portland, ME",21-22,2363,2013,17.386984600099353,350,77.0,56.57142857142857,41.0,77.14285714285715,2279,3.685827117156637,84,63.0,64.57142857142857,56.0,68.57142857142857,3160,-25.221518987341774,-797,73.0,58.857142857142854,109.0,38.285714285714285
"Portland, OR",21-22,11714,11643,0.6098084686077421,71,98.0,44.57142857142857,107.0,39.42857142857143,12324,-4.949691658552413,-610,108.0,38.857142857142854,86.0,51.42857142857142,14339,-18.306715949508334,-2625,121.0,31.428571428571427,81.0,54.285714285714285
"Providence, RI",21-22,9058,7700,17.636363636363626,1358,24.0,86.85714285714286,40.0,77.71428571428571,8957,1.1276096907446798,101,61.0,65.71428571428571,66.0,62.857142857142854,14112,-35.813492063492056,-5054,152.0,13.714285714285715,137.0,22.285714285714285
"Pueblo, CO",21-22,1046,918,13.943355119825718,128,92.0,48.0,51.0,71.42857142857143,1136,-7.922535211267601,-90,77.0,56.57142857142857,94.0,46.85714285714286,971,7.723995880535539,75,28.0,84.57142857142857,20.0,89.14285714285714
"Raleigh, NC",21-22,8425,6472,30.1761433868974,1953,13.0,93.14285714285714,15.0,92.0,5789,45.53463465192606,2636,2.0,99.42857142857143,6.0,97.14285714285714,8290,1.6284680337756319,135,25.0,86.28571428571429,29.0,84.0
"Rapid City, SD",21-22,1155,1069,8.044901777362012,86,96.0,45.714285714285715,71.0,60.0,1477,-21.800947867298582,-322,92.0,48.0,139.0,21.142857142857142,1440,-19.791666666666664,-285,44.0,75.42857142857143,84.0,52.57142857142857
"Reno, NV",21-22,1879,1768,6.278280542986425,111,93.0,47.42857142857143,80.0,54.85714285714286,1743,7.802639127940325,136,55.0,69.14285714285714,39.0,78.28571428571428,1802,4.2730299667036675,77,27.0,85.14285714285714,24.0,86.85714285714286
"Richmond, VA",21-22,9202,7384,24.620801733477784,1818,14.0,92.57142857142857,25.0,86.28571428571429,8749,5.177734598239803,453,28.0,84.57142857142857,49.0,72.57142857142857,9248,-0.4974048442906609,-46,34.0,81.14285714285714,33.0,81.71428571428572
"Rochester, NY",21-22,5845,5471,6.836044598793634,374,72.0,59.42857142857143,75.0,57.714285714285715,5575,4.843049327354265,270,40.0,77.71428571428571,51.0,71.42857142857143,8171,-28.466527964753396,-2326,115.0,34.85714285714286,119.0,32.57142857142858
"Rockford, IL",21-22,7467,8863,-15.750874421753359,-1396,163.0,7.428571428571429,153.0,13.142857142857142,11354,-34.23463096706006,-3887,164.0,6.857142857142858,167.0,5.142857142857142,14027,-46.76694945462323,-6560,157.0,10.857142857142858,164.0,6.857142857142858
"Rockville Centre, NY",21-22,15106,16946,-10.858019591644041,-1840,166.0,5.714285714285714,142.0,19.428571428571427,20267,-25.465041693393196,-5161,169.0,4.0,156.0,11.428571428571429,28963,-47.843800711252285,-13857,168.0,4.571428571428571,166.0,5.714285714285714
"Sacramento, CA",21-22,11599,11320,2.464664310954068,279,82.0,53.714285714285715,101.0,42.857142857142854,11972,-3.1156030738389573,-373,96.0,45.714285714285715,82.0,53.714285714285715,13845,-16.222462983026364,-2246,112.0,36.57142857142857,67.0,62.28571428571429
"Saginaw, MI",21-22,1961,1882,4.1976620616365645,79,97.0,45.14285714285714,93.0,47.42857142857143,1917,2.2952529994783477,44,65.0,63.42857142857142,61.0,65.71428571428571,3336,-41.21702637889688,-1375,90.0,49.142857142857146,152.0,13.714285714285715
"Salina, KS",21-22,2036,2267,-10.189677988531098,-231,125.0,29.142857142857142,140.0,20.57142857142857,1924,5.8212058212058215,112,58.0,67.42857142857143,47.0,73.71428571428571,2547,-20.062819002748334,-511,56.0,68.57142857142857,86.0,51.42857142857142
"Salt Lake, UT",21-22,3194,4000,-20.150000000000002,-806,155.0,12.0,163.0,7.428571428571429,5102,-37.39709917679341,-1908,138.0,21.714285714285715,169.0,4.0,5578,-42.739333094299035,-2384,116.0,34.285714285714285,156.0,11.428571428571429
"San Angelo, TX",21-22,794,886,-10.383747178329571,-92,117.0,33.714285714285715,141.0,20.0,900,-11.777777777777775,-106,78.0,56.00000000000001,107.0,39.42857142857143,654,21.406727828746174,140,24.0,86.85714285714286,12.0,93.71428571428572
"San Antonio, TX",21-22,8520,7428,14.701130856219713,1092,30.0,83.42857142857143,49.0,72.57142857142857,8118,4.9519586104952,402,34.0,81.14285714285714,50.0,72.0,12590,-32.32724384432088,-4070,143.0,18.857142857142858,128.0,27.42857142857143
"San Bernardino, CA",21-22,5335,6014,-11.290322580645162,-679,150.0,14.857142857142858,144.0,18.285714285714285,7887,-32.35704323570432,-2552,152.0,13.714285714285715,166.0,5.714285714285714,7300,-26.917808219178085,-1965,107.0,39.42857142857143,116.0,34.285714285714285
"San Diego, CA",21-22,13490,11197,20.478699651692423,2293,10.0,94.85714285714286,32.0,82.28571428571428,13068,3.229262320171422,422,32.0,82.28571428571428,60.0,66.28571428571428,16437,-17.929062480988012,-2947,129.0,26.857142857142858,78.0,56.00000000000001
"San Francisco, CA",21-22,18296,16601,10.210228299500024,1695,15.0,92.0,63.0,64.57142857142857,22642,-19.19441745428849,-4346,166.0,5.714285714285714,132.0,25.142857142857146,24023,-23.83965366523748,-5727,154.0,12.571428571428573,104.0,41.14285714285714
"San Jose, CA",21-22,14217,14376,-1.106010016694492,-159,120.0,32.0,112.0,36.57142857142857,13057,8.88412345868117,1160,11.0,94.28571428571428,36.0,80.0,14848,-4.249730603448276,-631,64.0,64.0,35.0,80.57142857142857
"Santa Fe, NM",21-22,3330,3113,6.970767748152906,217,87.0,50.857142857142854,74.0,58.285714285714285,2854,16.678346180798886,476,22.0,88.0,22.0,88.0,5273,-36.84809406410013,-1943,105.0,40.57142857142857,141.0,20.0
"Santa Rosa, CA",21-22,3531,5384,-34.416790490341754,-1853,167.0,5.142857142857142,172.0,2.2857142857142856,5932,-40.475387727579225,-2401,149.0,15.428571428571427,171.0,2.857142857142857,3950,-10.607594936708864,-419,51.0,71.42857142857143,56.0,68.57142857142857
"Savannah, GA",21-22,4824,3597,34.11175979983319,1227,26.0,85.71428571428571,13.0,93.14285714285714,3815,26.44823066841415,1009,15.0,92.0,16.0,91.42857142857143,4505,7.081021087680361,319,18.0,90.28571428571428,22.0,88.0
"Scranton, PA",21-22,5541,5433,1.987852015461078,108,94.0,46.85714285714286,103.0,41.714285714285715,5896,-6.021031207598371,-355,95.0,46.285714285714285,88.0,50.28571428571429,5950,-6.873949579831928,-409,50.0,72.0,42.0,76.57142857142857
"Seattle, WA",21-22,16735,14679,14.006403705974524,2056,11.0,94.28571428571428,50.0,72.0,16774,-0.2325026827232568,-39,74.0,58.285714285714285,70.0,60.57142857142858,20295,-17.541266321754122,-3560,134.0,24.0,77.0,56.57142857142857
"Shreveport, LA",21-22,1623,1683,-3.5650623885918,-60,115.0,34.85714285714286,126.0,28.57142857142857,1508,7.625994694960214,115,57.0,68.0,41.0,77.14285714285715,1981,-18.07168096920747,-358,49.0,72.57142857142857,79.0,55.42857142857143
"Sioux City, IA",21-22,7010,6619,5.907236742710387,391,66.0,62.857142857142854,81.0,54.285714285714285,5974,17.341814529628397,1036,13.0,93.14285714285714,21.0,88.57142857142857,6073,15.42894780174544,937,6.0,97.14285714285714,15.0,92.0
"Sioux Falls, SD",21-22,5913,4348,35.99356025758971,1565,17.0,90.85714285714286,10.0,94.85714285714286,4196,40.91992373689229,1717,6.0,97.14285714285714,7.0,96.57142857142857,5285,11.882686849574275,628,11.0,94.28571428571428,18.0,90.28571428571428
"Spokane, WA",21-22,4498,3527,27.530479160759857,971,36.0,80.0,21.0,88.57142857142857,4480,0.4017857142857073,18,68.0,61.71428571428571,68.0,61.71428571428571,4587,-1.9402659690429425,-89,36.0,80.0,34.0,81.14285714285714
"Springfield, IL",21-22,7888,8311,-5.089640235832027,-423,141.0,20.0,131.0,25.71428571428571,9837,-19.81295110297855,-1949,140.0,20.57142857142857,136.0,22.857142857142858,10103,-21.92418093635554,-2215,111.0,37.142857142857146,96.0,45.714285714285715
"Springfield, MA",21-22,2913,2536,14.865930599369094,377,70.0,60.57142857142858,48.0,73.14285714285714,2951,-1.2876990850559156,-38,73.0,58.857142857142854,76.0,57.14285714285714,4212,-30.84045584045584,-1299,87.0,50.857142857142854,123.0,30.28571428571429
"Springfield-Cape Girardeau, MO",21-22,3809,3087,23.388402980239718,722,48.0,73.14285714285714,27.0,85.14285714285714,3493,9.046664758087598,316,37.0,79.42857142857143,33.0,81.71428571428572,4549,-16.26731149703231,-740,70.0,60.57142857142858,69.0,61.142857142857146
"St. Augustine, FL",21-22,8529,7072,20.602375565610863,1457,19.0,89.71428571428571,31.0,82.85714285714286,10236,-16.67643610785463,-1707,135.0,23.42857142857143,124.0,29.714285714285715,10210,-16.464250734573948,-1681,99.0,44.0,70.0,60.57142857142858
"St. Cloud, MN",21-22,4653,4868,-4.416598192276089,-215,124.0,29.714285714285715,128.0,27.42857142857143,4769,-2.4323757601174223,-116,81.0,54.285714285714285,81.0,54.285714285714285,5554,-16.22254231184732,-901,78.0,56.00000000000001,68.0,61.71428571428571
"St. Louis, MO",21-22,30144,29380,2.6004084411163975,764,47.0,73.71428571428571,100.0,43.42857142857143,32103,-6.102233436127468,-1959,141.0,20.0,89.0,49.714285714285715,41476,-27.3218246696885,-11332,167.0,5.142857142857142,117.0,33.714285714285715
"St. Paul-Minneapolis, MN",21-22,24543,17458,40.583113758735244,7085,1.0,100.0,9.0,95.42857142857143,24154,1.6104992961828213,389,35.0,80.57142857142857,65.0,63.42857142857142,30580,-19.741661216481365,-6037,155.0,12.0,83.0,53.142857142857146
"St. Petersburg, FL",21-22,12790,11102,15.204467663484067,1688,16.0,91.42857142857143,47.0,73.71428571428571,10433,22.591776095082917,2357,3.0,98.85714285714286,18.0,90.28571428571428,11275,13.436807095343672,1515,3.0,98.85714285714286,16.0,91.42857142857143
"Steubenville, OH",21-22,1278,1619,-21.062384187770235,-341,137.0,22.285714285714285,166.0,5.714285714285714,1455,-12.164948453608249,-177,86.0,51.42857142857142,108.0,38.857142857142854,2154,-40.66852367688022,-876,76.0,57.14285714285714,150.0,14.857142857142858
"Stockton, CA",21-22,3850,3009,27.94948487869724,841,40.0,77.71428571428571,19.0,89.71428571428571,3606,6.766500277315579,244,44.0,75.42857142857143,43.0,76.0,4081,-5.660377358490565,-231,41.0,77.14285714285715,37.0,79.42857142857143
"Superior, WI",21-22,1641,1605,2.242990654205612,36,104.0,41.14285714285714,102.0,42.285714285714285,1657,-0.965600482800244,-16,71.0,60.0,74.0,58.285714285714285,2425,-32.329896907216494,-784,72.0,59.42857142857143,129.0,26.857142857142858
"Syracuse, NY",21-22,3430,4304,-20.306691449814128,-874,156.0,11.428571428571429,164.0,6.857142857142858,3836,-10.58394160583942,-406,101.0,42.857142857142854,104.0,41.14285714285714,6217,-44.828695512304975,-2787,125.0,29.142857142857142,158.0,10.285714285714285
"Toledo, OH",21-22,14886,15212,-2.143044964501706,-326,134.0,24.0,116.0,34.285714285714285,15716,-5.281242046322221,-830,119.0,32.57142857142858,87.0,50.857142857142854,19049,-21.854165572995953,-4163,144.0,18.285714285714285,95.0,46.285714285714285
"Trenton, NJ",21-22,9802,11117,-11.828730772690477,-1315,161.0,8.571428571428571,149.0,15.428571428571427,12766,-23.217922606924645,-2964,157.0,10.857142857142858,143.0,18.857142857142858,19180,-48.89468196037539,-9378,164.0,6.857142857142858,168.0,4.571428571428571
"Tucson, AZ",21-22,5841,4638,25.937904269081493,1203,28.0,84.57142857142857,23.0,87.42857142857143,5372,8.73045420699925,469,24.0,86.85714285714286,37.0,79.42857142857143,6126,-4.652301665034275,-285,44.0,75.42857142857143,36.0,80.0
"Tulsa, OK",21-22,3558,3691,-3.603359523164451,-133,118.0,33.14285714285714,127.0,28.000000000000004,4094,-13.092330239374695,-536,104.0,41.14285714285714,111.0,37.142857142857146,4587,-22.432962720732508,-1029,81.0,54.285714285714285,99.0,44.0
"Tyler, TX",21-22,484,267,81.27340823970037,217,87.0,50.857142857142854,4.0,98.28571428571429,289,67.47404844290656,195,49.0,72.57142857142857,4.0,98.28571428571429,1078,-55.10204081632652,-594,61.0,65.71428571428571,174.0,1.1428571428571428
"Venice, FL",21-22,4250,4308,-1.346332404828221,-58,114.0,35.42857142857142,114.0,35.42857142857142,4647,-8.543146115773615,-397,98.0,44.57142857142857,100.0,43.42857142857143,4745,-10.432033719704947,-495,53.0,70.28571428571428,55.0,69.14285714285714
"Victoria, TX",21-22,2674,2319,15.308322552824482,355,76.0,57.14285714285714,46.0,74.28571428571429,2569,4.087193460490468,105,59.0,66.85714285714286,53.0,70.28571428571428,2852,-6.241234221598879,-178,40.0,77.71428571428571,39.0,78.28571428571428
"Washington, DC",21-22,24527,23510,4.325818800510417,1017,32.0,82.28571428571428,90.0,49.142857142857146,23254,5.474326997505807,1273,10.0,94.85714285714286,48.0,73.14285714285714,26380,-7.024260803639115,-1853,104.0,41.14285714285714,43.0,76.0
"Wheeling-Charleston, WV",21-22,4115,4394,-6.349567592171146,-279,130.0,26.285714285714285,136.0,22.857142857142858,4935,-16.616008105369808,-820,117.0,33.714285714285715,123.0,30.28571428571429,5514,-25.371780921291254,-1399,91.0,48.57142857142857,111.0,37.142857142857146
"Wichita, KS",21-22,6936,9786,-29.12323727774372,-2850,172.0,2.2857142857142856,169.0,4.0,9025,-23.146814404432135,-2089,144.0,18.285714285714285,142.0,19.428571428571427,10295,-32.62748907236522,-3359,133.0,24.571428571428573,131.0,25.71428571428571
"Wilmington, DE",21-22,6372,6320,0.8227848101265867,52,103.0,41.714285714285715,106.0,40.0,7608,-16.246056782334385,-1236,125.0,29.142857142857142,122.0,30.857142857142854,11064,-42.40780911062907,-4692,150.0,14.857142857142858,153.0,13.142857142857142
"Winona, MN",21-22,4315,3971,8.662805338705626,344,78.0,56.00000000000001,69.0,61.142857142857146,4330,-0.34642032332563577,-15,70.0,60.57142857142858,71.0,60.0,5065,-14.807502467917077,-750,71.0,60.0,62.0,65.14285714285715
"Worcester, MA",21-22,4057,5164,-21.436870642912474,-1107,159.0,9.714285714285714,167.0,5.142857142857142,5330,-23.883677298311447,-1273,126.0,28.57142857142857,149.0,15.428571428571427,7732,-47.52974650801862,-3675,137.0,22.285714285714285,165.0,6.2857142857142865
"Yakima, WA",21-22,1694,1734,-2.3068050749711633,-40,111.0,37.142857142857146,117.0,33.714285714285715,1593,6.340238543628374,101,61.0,65.71428571428571,45.0,74.85714285714286,998,69.73947895791584,696,10.0,94.85714285714286,4.0,98.28571428571429
"Youngstown, OH",21-22,6645,6066,9.545004945598423,579,57.0,68.0,67.0,62.28571428571429,7261,-8.483679933893406,-616,109.0,38.285714285714285,99.0,44.0,8051,-17.463669109427403,-1406,92.0,48.0,76.0,57.14285714285714
