County & State,School Year,County Code,State ANSI Code,Enrollment
"Dekalb County, IL",19-20,37,17,173
"Dekalb County, IL",21-22,37,17,149
"Dekalb County, IN",11-12,33,18,110
"Dekalb County, IN",13-14,33,18,88
"Dekalb County, IN",15-16,33,18,88
"Dekalb County, IN",17-18,33,18,93
"Dekalb County, IN",19-20,33,18,108
"Dekalb County, IN",21-22,33,18,97
"Delaware County, IA",13-14,55,19,66
"Delaware County, IA",15-16,55,19,62
"Delaware County, IA",17-18,55,19,235
"Delaware County, IA",19-20,55,19,217
"Delaware County, IA",21-22,55,19,236
"Delaware County, IN",11-12,35,18,265
"Delaware County, IN",13-14,35,18,228
"Delaware County, IN",15-16,35,18,86
"Delaware County, IN",17-18,35,18,56
"Delaware County, IN",19-20,35,18,48
"Delaware County, IN",21-22,35,18,380
"Delaware County, OH",11-12,41,39,1247
"Delaware County, OH",13-14,41,39,1253
"Delaware County, OH",15-16,41,39,1229
"Delaware County, OH",17-18,41,39,1219
"Delaware County, OH",19-20,41,39,1218
"Delaware County, OH",21-22,41,39,1200
"Delaware County, PA",11-12,45,42,10317
"Delaware County, PA",13-14,45,42,8599
"Delaware County, PA",15-16,45,42,5867
"Delaware County, PA",17-18,45,42,7574
"Delaware County, PA",19-20,45,42,7741
"Delaware County, PA",21-22,45,42,9419
"Delta County, MI",11-12,41,26,285
"Delta County, MI",13-14,41,26,290
"Delta County, MI",15-16,41,26,308
"Delta County, MI",17-18,41,26,296
"Delta County, MI",19-20,41,26,329
"Delta County, MI",21-22,41,26,282
"Denton County, TX",11-12,121,48,253
"Denton County, TX",13-14,121,48,295
"Denton County, TX",15-16,121,48,236
"Denton County, TX",17-18,121,48,408
"Denton County, TX",19-20,121,48,417
"Denton County, TX",21-22,121,48,391
"Denver County, CO",11-12,31,8,5150
"Denver County, CO",13-14,31,8,5165
"Denver County, CO",15-16,31,8,4191
"Denver County, CO",17-18,31,8,3750
"Denver County, CO",19-20,31,8,4359
"Denver County, CO",21-22,31,8,4213
"Des Moines County, IA",11-12,57,19,446
"Des Moines County, IA",13-14,57,19,464
"Des Moines County, IA",15-16,57,19,946
"Des Moines County, IA",17-18,57,19,858
"Des Moines County, IA",19-20,57,19,922
"Des Moines County, IA",21-22,57,19,669
"Deschutes County, OR",11-12,17,41,51
"Deschutes County, OR",13-14,17,41,84
"Deschutes County, OR",15-16,17,41,218
"Deschutes County, OR",17-18,17,41,194
"Deschutes County, OR",19-20,17,41,290
"Deschutes County, OR",21-22,17,41,321
"Desoto County, MS",11-12,33,28,364
"Desoto County, MS",13-14,33,28,328
"Desoto County, MS",15-16,33,28,326
"Dewitt County, TX",11-12,123,48,73
"Dewitt County, TX",13-14,123,48,147
"Dewitt County, TX",15-16,123,48,145
"Dewitt County, TX",17-18,123,48,111
"Dewitt County, TX",19-20,123,48,83
"Dewitt County, TX",21-22,123,48,87
"Dickinson County, KS",11-12,41,20,120
"Dickinson County, KS",13-14,41,20,99
"Dickinson County, KS",15-16,41,20,130
"Dickinson County, KS",17-18,41,20,112
"Dickinson County, KS",19-20,41,20,121
"Dickinson County, KS",21-22,41,20,110
"Dickinson County, MI",11-12,43,26,74
"Dickinson County, MI",13-14,43,26,97
"Dickinson County, MI",15-16,43,26,63
"Dickinson County, MI",17-18,43,26,177
"Dickinson County, MI",19-20,43,26,167
"Dickinson County, MI",21-22,43,26,107
"District Of Columbia, DC",11-12,1,11,6166
"District Of Columbia, DC",13-14,1,11,5316
"District Of Columbia, DC",15-16,1,11,3104
"District Of Columbia, DC",17-18,1,11,4778
"District Of Columbia, DC",19-20,1,11,5029
"District Of Columbia, DC",21-22,1,11,6125
"Dodge County, NE",11-12,53,31,492
"Dodge County, NE",13-14,53,31,490
"Dodge County, NE",15-16,53,31,476
"Dodge County, NE",17-18,53,31,480
"Dodge County, NE",19-20,53,31,45
"Dodge County, NE",21-22,53,31,29
"Dodge County, WI",11-12,27,55,341
"Dodge County, WI",13-14,27,55,311
"Dodge County, WI",15-16,27,55,247
"Dodge County, WI",17-18,27,55,204
"Dodge County, WI",19-20,27,55,168
"Dodge County, WI",21-22,27,55,227
"Door County, WI",11-12,29,55,116
"Door County, WI",13-14,29,55,109
"Door County, WI",15-16,29,55,113
"Door County, WI",17-18,29,55,120
"Door County, WI",19-20,29,55,129
"Door County, WI",21-22,29,55,130
"Dorchester County, SC",11-12,35,45,227
"Dorchester County, SC",13-14,35,45,153
"Dorchester County, SC",15-16,35,45,182
"Dorchester County, SC",17-18,35,45,177
"Dorchester County, SC",19-20,35,45,178
"Dorchester County, SC",21-22,35,45,214
"Dougherty County, GA",11-12,95,13,158
"Dougherty County, GA",13-14,95,13,137
"Dougherty County, GA",15-16,95,13,110
"Dougherty County, GA",17-18,95,13,127
"Dougherty County, GA",19-20,95,13,151
"Dougherty County, GA",21-22,95,13,136
"Douglas County, CO",11-12,35,8,490
"Douglas County, CO",13-14,35,8,492
"Douglas County, CO",15-16,35,8,466
"Douglas County, CO",17-18,35,8,438
"Douglas County, CO",19-20,35,8,429
"Douglas County, CO",21-22,35,8,499
"Douglas County, GA",11-12,97,13,75
"Douglas County, KS",11-12,45,20,567
"Douglas County, KS",13-14,45,20,311
"Douglas County, KS",15-16,45,20,603
"Douglas County, KS",17-18,45,20,622
"Douglas County, KS",19-20,45,20,611
"Douglas County, KS",21-22,45,20,626
"Douglas County, MN",11-12,41,27,263
"Douglas County, MN",13-14,41,27,250
"Douglas County, MN",15-16,41,27,244
"Douglas County, MN",17-18,41,27,199
"Douglas County, MN",19-20,41,27,237
"Douglas County, MN",21-22,41,27,293
"Douglas County, MO",15-16,67,29,108
"Douglas County, NE",11-12,55,31,13586
"Douglas County, NE",13-14,55,31,11824
"Douglas County, NE",15-16,55,31,12538
"Douglas County, NE",17-18,55,31,12026
"Douglas County, NE",19-20,55,31,9578
"Douglas County, NE",21-22,55,31,10946
"Douglas County, WI",11-12,31,55,291
"Douglas County, WI",13-14,31,55,270
"Douglas County, WI",15-16,31,55,218
"Douglas County, WI",17-18,31,55,191
"Douglas County, WI",19-20,31,55,177
"Douglas County, WI",21-22,31,55,143
"Doña Ana County, NM",11-12,13,35,266
"Doña Ana County, NM",13-14,13,35,263
"Doña Ana County, NM",15-16,13,35,285
"Doña Ana County, NM",17-18,13,35,277
"Doña Ana County, NM",21-22,13,35,283
"Dubois County, IN",11-12,37,18,487
"Dubois County, IN",13-14,37,18,433
"Dubois County, IN",15-16,37,18,406
"Dubois County, IN",17-18,37,18,766
"Dubois County, IN",19-20,37,18,994
"Dubois County, IN",21-22,37,18,923
"Dubuque County, IA",11-12,61,19,4126
"Dubuque County, IA",13-14,61,19,3654
"Dubuque County, IA",15-16,61,19,3694
"Dubuque County, IA",17-18,61,19,3359
"Dubuque County, IA",19-20,61,19,2276
"Dubuque County, IA",21-22,61,19,2433
"Dunklin County, MO",11-12,69,29,65
"Dunklin County, MO",13-14,69,29,48
"Dunklin County, MO",15-16,69,29,55
"Dunklin County, MO",17-18,69,29,65
"Dunklin County, MO",19-20,69,29,70
"Dunklin County, MO",21-22,69,29,88
"Dunn County, WI",11-12,33,55,129
"Dunn County, WI",13-14,33,55,106
"Dunn County, WI",15-16,33,55,126
"Dunn County, WI",17-18,33,55,143
"Dunn County, WI",19-20,33,55,133
"Dunn County, WI",21-22,33,55,78
"Dupage County, IL",11-12,43,17,12596
"Dupage County, IL",13-14,43,17,11303
"Dupage County, IL",15-16,43,17,9553
"Dupage County, IL",17-18,43,17,8847
"Dupage County, IL",19-20,43,17,6023
"Dupage County, IL",21-22,43,17,7799
"Durham County, NC",11-12,63,37,367
"Durham County, NC",13-14,63,37,385
"Durham County, NC",15-16,63,37,454
"Durham County, NC",19-20,63,37,550
"Durham County, NC",21-22,63,37,523
"Dutchess County, NY",11-12,27,36,2527
"Dutchess County, NY",13-14,27,36,1781
"Dutchess County, NY",15-16,27,36,1187
"Dutchess County, NY",17-18,27,36,812
"Dutchess County, NY",19-20,27,36,903
"Dutchess County, NY",21-22,27,36,1599
"Duval County, FL",11-12,31,12,6898
"Duval County, FL",13-14,31,12,7201
"Duval County, FL",15-16,31,12,6787
"Duval County, FL",17-18,31,12,6985
"Duval County, FL",19-20,31,12,4717
"Duval County, FL",21-22,31,12,5907
"Eagle County, CO",11-12,37,8,157
"Eagle County, CO",13-14,37,8,154
"Eagle County, CO",15-16,37,8,127
"Eagle County, CO",17-18,37,8,122
"Eagle County, CO",19-20,37,8,125
"Eagle County, CO",21-22,37,8,115
"East Baton Rouge Parish, LA",11-12,33,22,7658
"East Baton Rouge Parish, LA",13-14,33,22,7665
"East Baton Rouge Parish, LA",15-16,33,22,8342
"East Baton Rouge Parish, LA",17-18,33,22,9138
"East Baton Rouge Parish, LA",19-20,33,22,6549
"East Baton Rouge Parish, LA",21-22,33,22,7613
"Eaton County, MI",11-12,45,26,798
"Eaton County, MI",13-14,45,26,715
"Eaton County, MI",15-16,45,26,786
"Eaton County, MI",17-18,45,26,761
"Eaton County, MI",19-20,45,26,610
"Eaton County, MI",21-22,45,26,295
"Eau Claire County, WI",11-12,35,55,876
"Eau Claire County, WI",13-14,35,55,937
"Eau Claire County, WI",15-16,35,55,772
"Eau Claire County, WI",17-18,35,55,1881
"Eau Claire County, WI",19-20,35,55,1644
"Eau Claire County, WI",21-22,35,55,1651
"Ector County, TX",11-12,135,48,210
"Ector County, TX",13-14,135,48,261
"Ector County, TX",15-16,135,48,313
"Ector County, TX",17-18,135,48,323
"Ector County, TX",19-20,135,48,277
"Ector County, TX",21-22,135,48,219
"Eddy County, NM",11-12,15,35,80
"Eddy County, NM",13-14,15,35,81
"Eddy County, NM",15-16,15,35,77
"Eddy County, NM",17-18,15,35,55
"Edgar County, IL",11-12,45,17,96
"Edgar County, IL",13-14,45,17,85
"Edgar County, IL",15-16,45,17,78
"Edgar County, IL",17-18,45,17,48
"Edmunds County, SD",11-12,45,46,33
"Edmunds County, SD",13-14,45,46,21
"Edmunds County, SD",15-16,45,46,21
"Effingham County, IL",11-12,49,17,715
"Effingham County, IL",13-14,49,17,747
"Effingham County, IL",15-16,49,17,410
"Effingham County, IL",17-18,49,17,919
"Effingham County, IL",19-20,49,17,890
"Effingham County, IL",21-22,49,17,419
"El Dorado County, CA",11-12,17,6,436
"El Dorado County, CA",13-14,17,6,365
"El Dorado County, CA",15-16,17,6,296
"El Dorado County, CA",17-18,17,6,265
"El Dorado County, CA",19-20,17,6,217
"El Dorado County, CA",21-22,17,6,190
"El Paso County, CO",11-12,41,8,1097
"El Paso County, CO",13-14,41,8,919
"El Paso County, CO",15-16,41,8,612
"El Paso County, CO",17-18,41,8,1053
"El Paso County, CO",19-20,41,8,1057
"El Paso County, CO",21-22,41,8,694
"El Paso County, TX",11-12,141,48,4115
"El Paso County, TX",13-14,141,48,3977
"El Paso County, TX",15-16,141,48,3119
"El Paso County, TX",17-18,141,48,2855
"El Paso County, TX",19-20,141,48,2283
"El Paso County, TX",21-22,141,48,2013
"Elk County, PA",11-12,47,42,853
"Elk County, PA",13-14,47,42,739
"Elk County, PA",15-16,47,42,411
"Elk County, PA",17-18,47,42,795
"Elk County, PA",19-20,47,42,459
"Elk County, PA",21-22,47,42,582
"Elkhart County, IN",11-12,39,18,689
"Elkhart County, IN",13-14,39,18,681
"Elkhart County, IN",15-16,39,18,349
"Elkhart County, IN",17-18,39,18,552
"Elkhart County, IN",19-20,39,18,645
"Elkhart County, IN",21-22,39,18,582
"Ellis County, KS",11-12,51,20,722
"Ellis County, KS",13-14,51,20,859
"Ellis County, KS",15-16,51,20,819
"Ellis County, KS",17-18,51,20,780
"Ellis County, KS",19-20,51,20,713
"Ellis County, KS",21-22,51,20,352
"Ellis County, TX",11-12,139,48,167
"Ellis County, TX",13-14,139,48,182
"Ellis County, TX",15-16,139,48,187
"Ellis County, TX",17-18,139,48,147
"Ellis County, TX",19-20,139,48,212
"Ellis County, TX",21-22,139,48,139
"Emmet County, MI",11-12,47,26,257
"Emmet County, MI",15-16,47,26,273
"Emmet County, MI",17-18,47,26,254
"Emmet County, MI",19-20,47,26,256
"Emmet County, MI",21-22,47,26,315
"Erie County, NY",11-12,29,36,13037
"Erie County, NY",13-14,29,36,10882
"Erie County, NY",15-16,29,36,10598
"Erie County, NY",17-18,29,36,9771
"Erie County, NY",19-20,29,36,4632
"Erie County, NY",21-22,29,36,6551
"Erie County, OH",11-12,43,39,905
"Erie County, OH",13-14,43,39,701
"Erie County, OH",15-16,43,39,301
"Erie County, OH",17-18,43,39,759
"Erie County, OH",19-20,43,39,1380
"Erie County, OH",21-22,43,39,1440
"Erie County, PA",11-12,49,42,4173
"Erie County, PA",13-14,49,42,2752
"Erie County, PA",15-16,49,42,2491
"Erie County, PA",17-18,49,42,3802
"Erie County, PA",19-20,49,42,2915
"Erie County, PA",21-22,49,42,2883
"Escambia County, FL",11-12,33,12,1372
"Escambia County, FL",13-14,33,12,1221
"Escambia County, FL",15-16,33,12,1322
"Escambia County, FL",17-18,33,12,1573
"Escambia County, FL",19-20,33,12,1457
"Escambia County, FL",21-22,33,12,1863
"Essex County, MA",11-12,9,25,9536
"Essex County, MA",13-14,9,25,9034
"Essex County, MA",15-16,9,25,8058
"Essex County, MA",17-18,9,25,8049
"Essex County, MA",19-20,9,25,6070
"Essex County, MA",21-22,9,25,4972
"Essex County, NJ",11-12,13,34,7736
"Essex County, NJ",13-14,13,34,6841
"Essex County, NJ",15-16,13,34,5925
"Essex County, NJ",17-18,13,34,5890
"Essex County, NJ",19-20,13,34,4751
"Essex County, NJ",21-22,13,34,4033
"Essex County, NY",11-12,31,36,250
"Essex County, NY",13-14,31,36,223
"Essex County, NY",15-16,31,36,219
"Essex County, NY",17-18,31,36,208
"Essex County, NY",19-20,31,36,208
"Essex County, NY",21-22,31,36,190
"Etowah County, AL",11-12,55,1,113
"Etowah County, AL",13-14,55,1,98
"Etowah County, AL",15-16,55,1,142
"Etowah County, AL",17-18,55,1,137
"Etowah County, AL",19-20,55,1,135
"Etowah County, AL",21-22,55,1,124
"Evangeline Parish, LA",11-12,39,22,528
"Evangeline Parish, LA",15-16,39,22,1059
"Evangeline Parish, LA",17-18,39,22,386
"Evangeline Parish, LA",19-20,39,22,987
"Evangeline Parish, LA",21-22,39,22,415
"Fairbanks North Star Borough, AK",11-12,90,2,491
"Fairbanks North Star Borough, AK",13-14,90,2,430
"Fairbanks North Star Borough, AK",15-16,90,2,807
"Fairbanks North Star Borough, AK",17-18,90,2,420
"Fairbanks North Star Borough, AK",19-20,90,2,372
"Fairbanks North Star Borough, AK",21-22,90,2,686
"Fairfax City, VA",11-12,600,51,941
"Fairfax City, VA",13-14,600,51,1436
"Fairfax City, VA",15-16,600,51,1450
"Fairfax City, VA",17-18,600,51,1348
"Fairfax City, VA",19-20,600,51,1239
"Fairfax City, VA",21-22,600,51,418
"Fairfax County, VA",11-12,59,51,5529
"Fairfax County, VA",13-14,59,51,4541
"Fairfax County, VA",15-16,59,51,5255
"Fairfax County, VA",17-18,59,51,5258
"Fairfax County, VA",19-20,59,51,4710
"Fairfax County, VA",21-22,59,51,6172
"Fairfield County, CT",11-12,1,9,11038
"Fairfield County, CT",13-14,1,9,10223
"Fairfield County, CT",15-16,1,9,9414
"Fairfield County, CT",17-18,1,9,7550
"Fairfield County, CT",19-20,1,9,6622
"Fairfield County, CT",21-22,1,9,7394
"Fairfield County, OH",11-12,45,39,436
"Fairfield County, OH",13-14,45,39,591
"Fairfield County, OH",15-16,45,39,160
"Fairfield County, OH",17-18,45,39,283
"Fairfield County, OH",19-20,45,39,444
"Fairfield County, OH",21-22,45,39,388
"Falls Church City, VA",11-12,610,51,540
"Falls Church City, VA",13-14,610,51,477
"Falls Church City, VA",15-16,610,51,451
"Falls Church City, VA",17-18,610,51,444
"Falls Church City, VA",19-20,610,51,419
"Falls Church City, VA",21-22,610,51,495
"Faribault County, MN",11-12,43,27,72
"Faribault County, MN",15-16,43,27,27
"Faribault County, MN",17-18,43,27,31
"Faribault County, MN",21-22,43,27,35
"Faulkner County, AR",11-12,45,5,456
"Faulkner County, AR",13-14,45,5,432
"Faulkner County, AR",15-16,45,5,523
"Faulkner County, AR",17-18,45,5,502
"Faulkner County, AR",19-20,45,5,521
"Faulkner County, AR",21-22,45,5,909
"Fauquier County, VA",11-12,61,51,193
"Fauquier County, VA",13-14,61,51,294
"Fauquier County, VA",15-16,61,51,266
"Fauquier County, VA",17-18,61,51,230
"Fauquier County, VA",21-22,61,51,265
"Fayette County, GA",11-12,113,13,570
"Fayette County, GA",13-14,113,13,401
"Fayette County, GA",17-18,113,13,283
"Fayette County, GA",19-20,113,13,90
"Fayette County, GA",21-22,113,13,283
"Fayette County, IA",11-12,65,19,169
"Fayette County, IA",13-14,65,19,117
"Fayette County, IA",15-16,65,19,120
"Fayette County, IA",17-18,65,19,113
"Fayette County, IA",19-20,65,19,75
"Fayette County, IN",11-12,41,18,146
"Fayette County, IN",13-14,41,18,130
"Fayette County, IN",15-16,41,18,150
"Fayette County, IN",17-18,41,18,159
"Fayette County, IN",19-20,41,18,137
"Fayette County, IN",21-22,41,18,141
"Fayette County, KY",11-12,67,21,2598
"Fayette County, KY",13-14,67,21,2524
"Fayette County, KY",15-16,67,21,2553
"Fayette County, KY",17-18,67,21,2449
"Fayette County, KY",19-20,67,21,1558
"Fayette County, KY",21-22,67,21,1874
"Fayette County, PA",11-12,51,42,484
"Fayette County, PA",13-14,51,42,650
"Fayette County, PA",15-16,51,42,665
"Fayette County, PA",17-18,51,42,457
"Fayette County, PA",19-20,51,42,267
"Fayette County, PA",21-22,51,42,777
"Fayette County, TX",11-12,149,48,344
"Fayette County, TX",13-14,149,48,314
"Fayette County, TX",15-16,149,48,286
"Fayette County, TX",17-18,149,48,285
"Fayette County, TX",19-20,149,48,291
"Fayette County, TX",21-22,149,48,252
"Fayette County, WV",11-12,19,54,120
"Fayette County, WV",13-14,19,54,129
"Fayette County, WV",15-16,19,54,100
"Fayette County, WV",21-22,19,54,59
"Finney County, KS",11-12,55,20,316
"Finney County, KS",13-14,55,20,296
"Finney County, KS",15-16,55,20,238
"Finney County, KS",17-18,55,20,263
"Finney County, KS",19-20,55,20,267
"Finney County, KS",21-22,55,20,240
"Flagler County, FL",11-12,35,12,214
"Flagler County, FL",13-14,35,12,282
"Flagler County, FL",15-16,35,12,242
"Flagler County, FL",17-18,35,12,191
"Flagler County, FL",19-20,35,12,204
"Flagler County, FL",21-22,35,12,194
"Flathead County, MT",11-12,29,30,243
"Flathead County, MT",13-14,29,30,262
"Flathead County, MT",15-16,29,30,202
"Flathead County, MT",17-18,29,30,162
"Flathead County, MT",19-20,29,30,166
"Flathead County, MT",21-22,29,30,169
"Florence County, SC",11-12,41,45,153
"Florence County, SC",13-14,41,45,144
"Florence County, SC",15-16,41,45,124
"Florence County, SC",17-18,41,45,108
"Florence County, SC",19-20,41,45,103
"Florence County, SC",21-22,41,45,116
"Floyd County, GA",11-12,115,13,272
"Floyd County, GA",13-14,115,13,226
"Floyd County, GA",15-16,115,13,221
"Floyd County, GA",17-18,115,13,215
"Floyd County, GA",19-20,115,13,221
"Floyd County, GA",21-22,115,13,211
"Floyd County, IA",11-12,67,19,171
"Floyd County, IA",13-14,67,19,208
"Floyd County, IA",15-16,67,19,224
"Floyd County, IA",17-18,67,19,241
"Floyd County, IA",19-20,67,19,211
"Floyd County, IA",21-22,67,19,156
"Floyd County, IN",11-12,43,18,1046
"Floyd County, IN",13-14,43,18,991
"Floyd County, IN",15-16,43,18,874
"Floyd County, IN",17-18,43,18,921
"Floyd County, IN",19-20,43,18,915
"Floyd County, IN",21-22,43,18,864
"Floyd County, KY",11-12,71,21,92
"Floyd County, KY",13-14,71,21,85
"Fond Du Lac County, WI",11-12,39,55,1231
"Fond Du Lac County, WI",13-14,39,55,1199
"Fond Du Lac County, WI",15-16,39,55,483
"Fond Du Lac County, WI",17-18,39,55,1204
"Fond Du Lac County, WI",19-20,39,55,1126
"Fond Du Lac County, WI",21-22,39,55,1133
"Ford County, KS",11-12,57,20,253
"Ford County, KS",13-14,57,20,239
"Ford County, KS",15-16,57,20,195
"Ford County, KS",17-18,57,20,151
"Ford County, KS",19-20,57,20,149
"Ford County, KS",21-22,57,20,170
"Forrest County, MS",11-12,35,28,685
"Forrest County, MS",13-14,35,28,741
"Forrest County, MS",17-18,35,28,739
"Forrest County, MS",19-20,35,28,1413
"Forrest County, MS",21-22,35,28,623
"Forsyth County, GA",11-12,117,13,831
"Forsyth County, GA",13-14,117,13,790
"Forsyth County, GA",15-16,117,13,807
"Forsyth County, GA",17-18,117,13,784
"Forsyth County, GA",19-20,117,13,660
"Forsyth County, GA",21-22,117,13,435
"Forsyth County, NC",11-12,67,37,1048
"Forsyth County, NC",13-14,67,37,961
"Forsyth County, NC",15-16,67,37,893
"Forsyth County, NC",17-18,67,37,786
"Forsyth County, NC",19-20,67,37,750
"Forsyth County, NC",21-22,67,37,418
"Fort Bend County, TX",11-12,157,48,1017
"Fort Bend County, TX",13-14,157,48,1048
"Fort Bend County, TX",15-16,157,48,1067
"Fort Bend County, TX",17-18,157,48,1114
"Fort Bend County, TX",19-20,157,48,910
"Fort Bend County, TX",21-22,157,48,369
"Franklin County, IL",11-12,55,17,101
"Franklin County, IL",13-14,55,17,77
"Franklin County, IL",15-16,55,17,74
"Franklin County, IL",17-18,55,17,62
"Franklin County, IL",19-20,55,17,50
"Franklin County, IL",21-22,55,17,73
"Franklin County, IN",11-12,47,18,460
"Franklin County, IN",13-14,47,18,451
"Franklin County, IN",15-16,47,18,451
"Franklin County, IN",17-18,47,18,418
"Franklin County, IN",19-20,47,18,448
"Franklin County, IN",21-22,47,18,398
"Franklin County, KS",11-12,59,20,75
"Franklin County, KS",13-14,59,20,77
"Franklin County, KS",15-16,59,20,81
"Franklin County, KS",17-18,59,20,69
"Franklin County, KS",19-20,59,20,86
"Franklin County, KS",21-22,59,20,93
"Franklin County, KY",11-12,73,21,142
"Franklin County, KY",13-14,73,21,165
"Franklin County, KY",15-16,73,21,171
"Franklin County, KY",17-18,73,21,173
"Franklin County, KY",19-20,73,21,168
"Franklin County, KY",21-22,73,21,132
"Franklin County, MO",11-12,71,29,1927
"Franklin County, MO",13-14,71,29,2079
"Franklin County, MO",15-16,71,29,1932
"Franklin County, MO",17-18,71,29,1376
"Franklin County, MO",19-20,71,29,1925
"Franklin County, MO",21-22,71,29,1931
"Franklin County, NY",11-12,33,36,233
"Franklin County, NY",13-14,33,36,227
"Franklin County, NY",15-16,33,36,207
"Franklin County, NY",17-18,33,36,161
"Franklin County, NY",19-20,33,36,68
"Franklin County, NY",21-22,33,36,79
"Franklin County, OH",11-12,49,39,11894
"Franklin County, OH",13-14,49,39,10785
"Franklin County, OH",15-16,49,39,9289
"Franklin County, OH",17-18,49,39,9239
"Franklin County, OH",19-20,49,39,8541
"Franklin County, OH",21-22,49,39,8675
"Franklin County, PA",11-12,55,42,374
"Franklin County, PA",13-14,55,42,368
"Franklin County, PA",15-16,55,42,324
"Franklin County, PA",17-18,55,42,272
"Franklin County, PA",19-20,55,42,265
"Franklin County, PA",21-22,55,42,371
"Franklin County, TN",11-12,51,47,71
"Franklin County, TN",13-14,51,47,59
"Franklin County, WA",11-12,21,53,418
"Franklin County, WA",13-14,21,53,429
"Franklin County, WA",15-16,21,53,400
"Franklin County, WA",17-18,21,53,358
"Franklin County, WA",19-20,21,53,512
"Franklin County, WA",21-22,21,53,344
"Frederick County, MD",11-12,21,24,1370
"Frederick County, MD",13-14,21,24,1309
"Frederick County, MD",15-16,21,24,1136
"Frederick County, MD",17-18,21,24,885
"Frederick County, MD",19-20,21,24,1112
"Frederick County, MD",21-22,21,24,1294
"Frederick County, VA",21-22,69,51,279
"Freeborn County, MN",11-12,47,27,85
"Freeborn County, MN",19-20,47,27,62
"Freeborn County, MN",21-22,47,27,84
"Fremont County, WY",13-14,13,56,71
"Fremont County, WY",15-16,13,56,92
"Fremont County, WY",19-20,13,56,83
"Fremont County, WY",21-22,13,56,74
"Fresno County, CA",11-12,19,6,2263
"Fresno County, CA",13-14,19,6,1449
"Fresno County, CA",15-16,19,6,2046
"Fresno County, CA",17-18,19,6,2215
"Fresno County, CA",19-20,19,6,1802
"Fresno County, CA",21-22,19,6,1463
"Fulton County, GA",11-12,121,13,3999
"Fulton County, GA",13-14,121,13,3985
"Fulton County, GA",15-16,121,13,3642
"Fulton County, GA",17-18,121,13,5538
"Fulton County, GA",19-20,121,13,3183
"Fulton County, GA",21-22,121,13,3757
"Fulton County, OH",11-12,51,39,298
"Fulton County, OH",13-14,51,39,251
"Fulton County, OH",15-16,51,39,233
"Fulton County, OH",17-18,51,39,208
"Fulton County, OH",19-20,51,39,185
"Fulton County, OH",21-22,51,39,162
"Gage County, NE",11-12,67,31,78
"Gage County, NE",13-14,67,31,83
"Gage County, NE",15-16,67,31,87
"Gage County, NE",17-18,67,31,97
"Gage County, NE",19-20,67,31,103
"Gage County, NE",21-22,67,31,90
"Gallatin County, MT",19-20,31,30,64
"Galveston County, TX",11-12,167,48,756
"Galveston County, TX",13-14,167,48,533
"Galveston County, TX",15-16,167,48,677
"Galveston County, TX",17-18,167,48,720
"Galveston County, TX",19-20,167,48,672
"Galveston County, TX",21-22,167,48,573
"Garfield County, CO",11-12,45,8,211
"Garfield County, CO",13-14,45,8,188
"Garfield County, CO",15-16,45,8,185
"Garfield County, CO",17-18,45,8,162
"Garfield County, CO",19-20,45,8,152
"Garfield County, CO",21-22,45,8,186
"Garfield County, OK",11-12,47,40,88
"Garfield County, OK",13-14,47,40,98
"Garfield County, OK",15-16,47,40,115
"Garfield County, OK",17-18,47,40,98
"Garfield County, OK",19-20,47,40,99
"Garfield County, OK",21-22,47,40,72
"Garland County, AR",11-12,51,5,113
"Garland County, AR",15-16,51,5,113
"Garland County, AR",17-18,51,5,119
"Garland County, AR",19-20,51,5,76
"Garland County, AR",21-22,51,5,106
"Gasconade County, MO",11-12,73,29,156
"Gasconade County, MO",13-14,73,29,138
"Gasconade County, MO",15-16,73,29,135
"Gasconade County, MO",17-18,73,29,153
"Gasconade County, MO",19-20,73,29,163
"Gasconade County, MO",21-22,73,29,150
"Gaston County, NC",11-12,71,37,195
"Gaston County, NC",13-14,71,37,188
"Gaston County, NC",15-16,71,37,155
"Gaston County, NC",17-18,71,37,124
"Gaston County, NC",21-22,71,37,117
"Geary County, KS",11-12,61,20,189
"Geary County, KS",13-14,61,20,204
"Geary County, KS",15-16,61,20,208
"Geary County, KS",17-18,61,20,155
"Geary County, KS",19-20,61,20,136
"Geary County, KS",21-22,61,20,131
"Geauga County, OH",11-12,55,39,2154
"Geauga County, OH",13-14,55,39,2028
"Geauga County, OH",15-16,55,39,1857
"Geauga County, OH",17-18,55,39,1901
"Geauga County, OH",19-20,55,39,1668
"Geauga County, OH",21-22,55,39,1525
"Genesee County, MI",11-12,49,26,2402
"Genesee County, MI",13-14,49,26,2288
"Genesee County, MI",15-16,49,26,2319
"Genesee County, MI",17-18,49,26,2250
"Genesee County, MI",19-20,49,26,1110
"Genesee County, MI",21-22,49,26,1459
"Genesee County, NY",11-12,37,36,483
"Genesee County, NY",13-14,37,36,390
"Genesee County, NY",15-16,37,36,165
"Genesee County, NY",17-18,37,36,163
"Genesee County, NY",19-20,37,36,326
"Genesee County, NY",21-22,37,36,394
"Gibson County, IN",11-12,51,18,657
"Gibson County, IN",13-14,51,18,649
"Gibson County, IN",15-16,51,18,300
"Gibson County, IN",17-18,51,18,494
"Gibson County, IN",19-20,51,18,764
"Gibson County, IN",21-22,51,18,437
"Gila County, AZ",11-12,7,4,129
"Gila County, AZ",13-14,7,4,125
"Gila County, AZ",15-16,7,4,131
"Gila County, AZ",17-18,7,4,159
