Diocese,School Year,Enrollment
"Colorado Springs, CO",19-20,1952
"Colorado Springs, CO",21-22,1640
"Columbus, OH",11-12,17074
"Columbus, OH",13-14,15676
"Columbus, OH",15-16,13156
"Columbus, OH",17-18,13210
"Columbus, OH",19-20,12671
"Columbus, OH",21-22,13507
"Corpus Christi, TX",11-12,3602
"Corpus Christi, TX",13-14,3203
"Corpus Christi, TX",15-16,2612
"Corpus Christi, TX",17-18,2469
"Corpus Christi, TX",19-20,2166
"Corpus Christi, TX",21-22,1766
"Covington, KY",11-12,9643
"Covington, KY",13-14,8723
"Covington, KY",15-16,8095
"Covington, KY",17-18,8932
"Covington, KY",19-20,7918
"Covington, KY",21-22,8295
"Crookston, MN",11-12,1315
"Crookston, MN",13-14,1254
"Crookston, MN",15-16,1208
"Crookston, MN",17-18,1327
"Crookston, MN",19-20,1380
"Crookston, MN",21-22,1446
"Dallas, TX",11-12,13902
"Dallas, TX",13-14,14164
"Dallas, TX",15-16,13099
"Dallas, TX",17-18,14145
"Dallas, TX",19-20,11038
"Dallas, TX",21-22,11598
"Davenport, IA",11-12,4785
"Davenport, IA",13-14,4437
"Davenport, IA",15-16,4627
"Davenport, IA",17-18,5125
"Davenport, IA",19-20,5141
"Davenport, IA",21-22,5583
"Denver, CO",11-12,14593
"Denver, CO",13-14,12179
"Denver, CO",15-16,12013
"Denver, CO",17-18,10278
"Denver, CO",19-20,11136
"Denver, CO",21-22,11608
"Des Moines, IA",11-12,5953
"Des Moines, IA",13-14,5829
"Des Moines, IA",15-16,6082
"Des Moines, IA",17-18,5390
"Des Moines, IA",19-20,5157
"Des Moines, IA",21-22,6109
"Detroit, MI",11-12,28620
"Detroit, MI",13-14,29662
"Detroit, MI",15-16,27862
"Detroit, MI",17-18,26328
"Detroit, MI",19-20,21261
"Detroit, MI",21-22,24018
"Dodge City, KS",11-12,994
"Dodge City, KS",13-14,904
"Dodge City, KS",15-16,839
"Dodge City, KS",17-18,544
"Dodge City, KS",19-20,558
"Dodge City, KS",21-22,704
"Dubuque, IA",11-12,12283
"Dubuque, IA",13-14,11353
"Dubuque, IA",15-16,11134
"Dubuque, IA",17-18,11788
"Dubuque, IA",19-20,8751
"Dubuque, IA",21-22,8345
"Duluth, MN",11-12,1470
"Duluth, MN",13-14,1427
"Duluth, MN",15-16,1220
"Duluth, MN",17-18,1052
"Duluth, MN",19-20,925
"Duluth, MN",21-22,1204
"El Paso, TX",11-12,4115
"El Paso, TX",13-14,3977
"El Paso, TX",15-16,3119
"El Paso, TX",17-18,2855
"El Paso, TX",19-20,2283
"El Paso, TX",21-22,2013
"Erie, PA",11-12,7363
"Erie, PA",13-14,5249
"Erie, PA",15-16,4434
"Erie, PA",17-18,5296
"Erie, PA",19-20,4567
"Erie, PA",21-22,5400
"Evansville, IN",11-12,6670
"Evansville, IN",13-14,6161
"Evansville, IN",15-16,4979
"Evansville, IN",17-18,6740
"Evansville, IN",19-20,6214
"Evansville, IN",21-22,6169
"Fairbanks, AK",11-12,491
"Fairbanks, AK",13-14,430
"Fairbanks, AK",15-16,807
"Fairbanks, AK",17-18,420
"Fairbanks, AK",19-20,372
"Fairbanks, AK",21-22,686
"Fall River, MA",11-12,6582
"Fall River, MA",13-14,7071
"Fall River, MA",15-16,4634
"Fall River, MA",17-18,5140
"Fall River, MA",19-20,4751
"Fall River, MA",21-22,5132
"Fargo, ND",11-12,1794
"Fargo, ND",13-14,1822
"Fargo, ND",15-16,1095
"Fargo, ND",17-18,1573
"Fargo, ND",19-20,2808
"Fargo, ND",21-22,2649
"Fresno, CA",11-12,6132
"Fresno, CA",13-14,4268
"Fresno, CA",15-16,4441
"Fresno, CA",17-18,4858
"Fresno, CA",19-20,4045
"Fresno, CA",21-22,3377
"Ft. Wayne-South Bend, IN",11-12,13680
"Ft. Wayne-South Bend, IN",13-14,12792
"Ft. Wayne-South Bend, IN",15-16,12807
"Ft. Wayne-South Bend, IN",17-18,13572
"Ft. Wayne-South Bend, IN",19-20,12058
"Ft. Wayne-South Bend, IN",21-22,12073
"Ft. Worth, TX",11-12,5776
"Ft. Worth, TX",13-14,5696
"Ft. Worth, TX",15-16,5190
"Ft. Worth, TX",17-18,4338
"Ft. Worth, TX",19-20,3777
"Ft. Worth, TX",21-22,3699
"Gallup, NM",11-12,1295
"Gallup, NM",13-14,1239
"Gallup, NM",15-16,1067
"Gallup, NM",17-18,794
"Gallup, NM",19-20,552
"Gallup, NM",21-22,618
"Galveston-Houston, TX",11-12,17888
"Galveston-Houston, TX",13-14,17075
"Galveston-Houston, TX",15-16,17298
"Galveston-Houston, TX",17-18,18734
"Galveston-Houston, TX",19-20,16582
"Galveston-Houston, TX",21-22,13623
"Gary, IN",11-12,6541
"Gary, IN",13-14,5250
"Gary, IN",15-16,5740
"Gary, IN",17-18,4284
"Gary, IN",19-20,4289
"Gary, IN",21-22,5830
"Gaylord, MI",11-12,2521
"Gaylord, MI",13-14,1686
"Gaylord, MI",15-16,1499
"Gaylord, MI",17-18,2648
"Gaylord, MI",19-20,2327
"Gaylord, MI",21-22,1678
"Grand Island, NE",11-12,1244
"Grand Island, NE",13-14,1571
"Grand Island, NE",15-16,1577
"Grand Island, NE",17-18,1549
"Grand Island, NE",19-20,1717
"Grand Island, NE",21-22,1777
"Grand Rapids, MI",11-12,6702
"Grand Rapids, MI",13-14,7353
"Grand Rapids, MI",15-16,5931
"Grand Rapids, MI",17-18,5576
"Grand Rapids, MI",19-20,4631
"Grand Rapids, MI",21-22,6009
"Great Falls-Billings, MT",11-12,2572
"Great Falls-Billings, MT",13-14,1878
"Great Falls-Billings, MT",15-16,1992
"Great Falls-Billings, MT",17-18,1457
"Great Falls-Billings, MT",19-20,975
"Great Falls-Billings, MT",21-22,1918
"Green Bay, WI",11-12,10639
"Green Bay, WI",13-14,11062
"Green Bay, WI",15-16,7297
"Green Bay, WI",17-18,11589
"Green Bay, WI",19-20,12704
"Green Bay, WI",21-22,15191
"Greensburg, PA",11-12,1877
"Greensburg, PA",13-14,2913
"Greensburg, PA",15-16,2885
"Greensburg, PA",17-18,2090
"Greensburg, PA",19-20,2089
"Greensburg, PA",21-22,2722
"Harrisburg, PA",11-12,11129
"Harrisburg, PA",13-14,7234
"Harrisburg, PA",15-16,6252
"Harrisburg, PA",17-18,6530
"Harrisburg, PA",19-20,8228
"Harrisburg, PA",21-22,6946
"Hartford, CT",11-12,15400
"Hartford, CT",13-14,13750
"Hartford, CT",15-16,9729
"Hartford, CT",17-18,10327
"Hartford, CT",19-20,9146
"Hartford, CT",21-22,8343
"Helena, MT",11-12,1183
"Helena, MT",13-14,1380
"Helena, MT",15-16,1588
"Helena, MT",17-18,1006
"Helena, MT",19-20,1382
"Helena, MT",21-22,1336
"Honolulu, HI",11-12,8633
"Honolulu, HI",13-14,8528
"Honolulu, HI",15-16,5785
"Honolulu, HI",17-18,7774
"Honolulu, HI",19-20,6567
"Honolulu, HI",21-22,6368
"Houma-Thibodaux, LA",11-12,5634
"Houma-Thibodaux, LA",13-14,4068
"Houma-Thibodaux, LA",15-16,2834
"Houma-Thibodaux, LA",17-18,3751
"Houma-Thibodaux, LA",19-20,3123
"Houma-Thibodaux, LA",21-22,3889
"Indianapolis, IN",11-12,22528
"Indianapolis, IN",13-14,21888
"Indianapolis, IN",15-16,19580
"Indianapolis, IN",17-18,21757
"Indianapolis, IN",19-20,18697
"Indianapolis, IN",21-22,18689
"Jackson, MS",11-12,4205
"Jackson, MS",13-14,3927
"Jackson, MS",15-16,3361
"Jackson, MS",17-18,3331
"Jackson, MS",19-20,2954
"Jackson, MS",21-22,2479
"Jefferson City, MO",11-12,7117
"Jefferson City, MO",13-14,6448
"Jefferson City, MO",15-16,6478
"Jefferson City, MO",17-18,6484
"Jefferson City, MO",19-20,5666
"Jefferson City, MO",21-22,6544
"Joliet, IL",11-12,20757
"Joliet, IL",13-14,18935
"Joliet, IL",15-16,16964
"Joliet, IL",17-18,15650
"Joliet, IL",19-20,10652
"Joliet, IL",21-22,12980
"Juneau, AK",11-12,92
"Juneau, AK",13-14,78
"Juneau, AK",15-16,57
"Juneau, AK",17-18,80
"Kalamazoo, MI",11-12,3659
"Kalamazoo, MI",13-14,2638
"Kalamazoo, MI",15-16,2598
"Kalamazoo, MI",17-18,2342
"Kalamazoo, MI",19-20,2013
"Kalamazoo, MI",21-22,2383
"Kansas City, KS",11-12,14017
"Kansas City, KS",13-14,11545
"Kansas City, KS",15-16,11287
"Kansas City, KS",17-18,12386
"Kansas City, KS",19-20,10406
"Kansas City, KS",21-22,10863
"Kansas City-St. Joseph, MO",11-12,10820
"Kansas City-St. Joseph, MO",13-14,9910
"Kansas City-St. Joseph, MO",15-16,8684
"Kansas City-St. Joseph, MO",17-18,9091
"Kansas City-St. Joseph, MO",19-20,7583
"Kansas City-St. Joseph, MO",21-22,9038
"Knoxville, TN",11-12,3516
"Knoxville, TN",13-14,3057
"Knoxville, TN",15-16,2058
"Knoxville, TN",17-18,2481
"Knoxville, TN",19-20,2043
"Knoxville, TN",21-22,2657
"La Crosse, WI",11-12,7943
"La Crosse, WI",13-14,6889
"La Crosse, WI",15-16,7067
"La Crosse, WI",17-18,8159
"La Crosse, WI",19-20,8629
"La Crosse, WI",21-22,9193
"Lafayette, IN",11-12,5320
"Lafayette, IN",13-14,5168
"Lafayette, IN",15-16,4395
"Lafayette, IN",17-18,4557
"Lafayette, IN",19-20,4141
"Lafayette, IN",21-22,4823
"Lafayette, LA",11-12,13764
"Lafayette, LA",13-14,12425
"Lafayette, LA",15-16,13952
"Lafayette, LA",17-18,11063
"Lafayette, LA",19-20,9607
"Lafayette, LA",21-22,9349
"Lake Charles, LA",11-12,2204
"Lake Charles, LA",13-14,2344
"Lake Charles, LA",15-16,2622
"Lake Charles, LA",17-18,2691
"Lake Charles, LA",19-20,2487
"Lake Charles, LA",21-22,2053
"Lansing, MI",11-12,8956
"Lansing, MI",13-14,7494
"Lansing, MI",15-16,8685
"Lansing, MI",17-18,8399
"Lansing, MI",19-20,5697
"Lansing, MI",21-22,6318
"Laredo, TX",11-12,1748
"Laredo, TX",13-14,1768
"Laredo, TX",15-16,1701
"Laredo, TX",17-18,1153
"Laredo, TX",19-20,948
"Laredo, TX",21-22,1597
"Las Cruces, NM",11-12,594
"Las Cruces, NM",13-14,534
"Las Cruces, NM",15-16,624
"Las Cruces, NM",17-18,566
"Las Cruces, NM",19-20,161
"Las Cruces, NM",21-22,542
"Las Vegas, NV",11-12,3986
"Las Vegas, NV",13-14,3403
"Las Vegas, NV",15-16,2960
"Las Vegas, NV",17-18,3067
"Las Vegas, NV",19-20,3500
"Las Vegas, NV",21-22,3976
"Lexington, KY",11-12,3940
"Lexington, KY",13-14,3661
"Lexington, KY",15-16,3603
"Lexington, KY",17-18,3509
"Lexington, KY",19-20,2544
"Lexington, KY",21-22,2958
"Lincoln, NE",11-12,8150
"Lincoln, NE",13-14,7742
"Lincoln, NE",15-16,7180
"Lincoln, NE",17-18,7019
"Lincoln, NE",19-20,7819
"Lincoln, NE",21-22,6910
"Little Rock, AR",11-12,7015
"Little Rock, AR",13-14,6206
"Little Rock, AR",15-16,6562
"Little Rock, AR",17-18,6044
"Little Rock, AR",19-20,5297
"Little Rock, AR",21-22,6285
"Los Angeles, CA",11-12,75943
"Los Angeles, CA",13-14,65507
"Los Angeles, CA",15-16,62486
"Los Angeles, CA",17-18,66847
"Los Angeles, CA",19-20,56449
"Los Angeles, CA",21-22,57429
"Louisville, KY",11-12,19212
"Louisville, KY",13-14,19206
"Louisville, KY",15-16,17646
"Louisville, KY",17-18,18110
"Louisville, KY",19-20,16266
"Louisville, KY",21-22,15369
"Lubbock, TX",11-12,54
"Lubbock, TX",13-14,381
"Lubbock, TX",15-16,384
"Lubbock, TX",17-18,472
"Lubbock, TX",19-20,247
"Lubbock, TX",21-22,274
"Madison, WI",11-12,7469
"Madison, WI",13-14,7050
"Madison, WI",15-16,6440
"Madison, WI",17-18,5404
"Madison, WI",19-20,5263
"Madison, WI",21-22,5864
"Manchester, NH",11-12,7355
"Manchester, NH",13-14,6331
"Manchester, NH",15-16,5650
"Manchester, NH",17-18,5953
"Manchester, NH",19-20,5021
"Manchester, NH",21-22,4448
"Marquette, MI",11-12,1435
"Marquette, MI",13-14,1337
"Marquette, MI",15-16,1320
"Marquette, MI",17-18,1057
"Marquette, MI",19-20,1093
"Marquette, MI",21-22,1096
"Memphis, TN",11-12,4766
"Memphis, TN",13-14,4224
"Memphis, TN",15-16,3597
"Memphis, TN",17-18,4985
"Memphis, TN",19-20,2782
"Memphis, TN",21-22,2204
"Metuchen, NJ",11-12,9552
"Metuchen, NJ",13-14,8778
"Metuchen, NJ",15-16,7988
"Metuchen, NJ",17-18,7161
"Metuchen, NJ",19-20,5633
"Metuchen, NJ",21-22,5494
"Miami, FL",11-12,33395
"Miami, FL",13-14,30103
"Miami, FL",15-16,28585
"Miami, FL",17-18,32697
"Miami, FL",19-20,32326
"Miami, FL",21-22,30441
"Milwaukee, WI",11-12,31304
"Milwaukee, WI",13-14,29690
"Milwaukee, WI",15-16,27626
"Milwaukee, WI",17-18,26794
"Milwaukee, WI",19-20,27368
"Milwaukee, WI",21-22,26570
"Mobile, AL",11-12,6185
"Mobile, AL",13-14,5893
"Mobile, AL",15-16,5073
"Mobile, AL",17-18,5516
"Mobile, AL",19-20,4613
"Mobile, AL",21-22,4884
"Monterey, CA",11-12,4390
"Monterey, CA",13-14,4568
"Monterey, CA",15-16,3797
"Monterey, CA",17-18,4507
"Monterey, CA",19-20,3390
"Monterey, CA",21-22,4110
"Nashville, TN",11-12,5219
"Nashville, TN",13-14,4864
"Nashville, TN",15-16,4569
"Nashville, TN",17-18,5045
"Nashville, TN",19-20,4996
"Nashville, TN",21-22,5212
"New Orleans, LA",11-12,33947
"New Orleans, LA",13-14,32005
"New Orleans, LA",15-16,25163
"New Orleans, LA",17-18,29213
"New Orleans, LA",19-20,25258
"New Orleans, LA",21-22,23290
"New Ulm, MN",11-12,2236
"New Ulm, MN",13-14,1838
"New Ulm, MN",15-16,1940
"New Ulm, MN",17-18,2213
"New Ulm, MN",19-20,1977
"New Ulm, MN",21-22,1670
"New York, NY",11-12,65500
"New York, NY",13-14,58697
"New York, NY",15-16,49487
"New York, NY",17-18,47967
"New York, NY",19-20,40417
"New York, NY",21-22,39031
"Newark, NJ",11-12,31959
"Newark, NJ",13-14,28321
"Newark, NJ",15-16,23474
"Newark, NJ",17-18,23534
"Newark, NJ",19-20,19236
"Newark, NJ",21-22,17082
"Norwich, CT",11-12,4871
"Norwich, CT",13-14,3580
"Norwich, CT",15-16,3572
"Norwich, CT",17-18,2720
"Norwich, CT",19-20,2368
"Norwich, CT",21-22,3192
"Oakland, CA",11-12,16764
"Oakland, CA",13-14,16265
"Oakland, CA",15-16,14144
"Oakland, CA",17-18,14308
"Oakland, CA",19-20,13805
"Oakland, CA",21-22,14165
"Ogdensburg, NY",11-12,2256
"Ogdensburg, NY",13-14,2178
"Ogdensburg, NY",15-16,1923
"Ogdensburg, NY",17-18,1714
"Ogdensburg, NY",19-20,1187
"Ogdensburg, NY",21-22,1294
"Oklahoma City, OK",11-12,5233
"Oklahoma City, OK",13-14,4867
"Oklahoma City, OK",15-16,4035
"Oklahoma City, OK",17-18,4279
"Oklahoma City, OK",19-20,3981
"Oklahoma City, OK",21-22,2383
"Omaha, NE",11-12,19184
"Omaha, NE",13-14,17461
"Omaha, NE",15-16,17580
"Omaha, NE",17-18,17619
"Omaha, NE",19-20,13536
"Omaha, NE",21-22,14878
"Orange, CA",11-12,19604
"Orange, CA",13-14,18055
"Orange, CA",15-16,17012
"Orange, CA",17-18,17311
"Orange, CA",19-20,12056
"Orange, CA",21-22,13208
"Orlando, FL",11-12,13167
"Orlando, FL",13-14,12589
"Orlando, FL",15-16,12127
"Orlando, FL",17-18,13003
"Orlando, FL",19-20,13445
"Orlando, FL",21-22,11913
"Owensboro, KY",11-12,4374
"Owensboro, KY",13-14,3500
"Owensboro, KY",15-16,3439
"Owensboro, KY",17-18,3047
"Owensboro, KY",19-20,3344
"Owensboro, KY",21-22,3483
"Palm Beach, FL",11-12,5014
"Palm Beach, FL",13-14,5124
"Palm Beach, FL",15-16,5249
"Palm Beach, FL",17-18,4402
"Palm Beach, FL",19-20,4000
"Palm Beach, FL",21-22,5023
"Paterson, NJ",11-12,11421
"Paterson, NJ",13-14,10270
"Paterson, NJ",15-16,8931
"Paterson, NJ",17-18,6413
"Paterson, NJ",19-20,6854
"Paterson, NJ",21-22,6192
"Pensacola-Tallahassee, FL",11-12,2493
"Pensacola-Tallahassee, FL",13-14,2474
"Pensacola-Tallahassee, FL",15-16,2451
"Pensacola-Tallahassee, FL",17-18,2784
"Pensacola-Tallahassee, FL",19-20,2720
"Pensacola-Tallahassee, FL",21-22,3046
"Peoria, IL",11-12,10718
"Peoria, IL",13-14,9815
"Peoria, IL",15-16,10451
"Peoria, IL",17-18,10181
"Peoria, IL",19-20,8903
"Peoria, IL",21-22,9507
"Philadelphia, PA",11-12,67346
"Philadelphia, PA",13-14,52432
"Philadelphia, PA",15-16,46393
"Philadelphia, PA",17-18,48013
"Philadelphia, PA",19-20,47903
"Philadelphia, PA",21-22,44957
"Phoenix, AZ",11-12,13978
"Phoenix, AZ",13-14,12007
"Phoenix, AZ",15-16,13342
"Phoenix, AZ",17-18,13115
"Phoenix, AZ",19-20,11991
"Phoenix, AZ",21-22,14420
"Pittsburgh, PA",11-12,17002
