Diocese,School Year,Enrollment
"San Francisco, CA",11-12,24023
"San Francisco, CA",13-14,20701
"San Francisco, CA",15-16,20804
"San Francisco, CA",17-18,22642
"San Francisco, CA",19-20,16601
"San Francisco, CA",21-22,18296
"San Jose, CA",11-12,14848
"San Jose, CA",13-14,14027
"San Jose, CA",15-16,11201
"San Jose, CA",17-18,13057
"San Jose, CA",19-20,14376
"San Jose, CA",21-22,14217
"Santa Fe, NM",11-12,5273
"Santa Fe, NM",13-14,2575
"Santa Fe, NM",15-16,3376
"Santa Fe, NM",17-18,2854
"Santa Fe, NM",19-20,3113
"Santa Fe, NM",21-22,3330
"Santa Rosa, CA",11-12,3950
"Santa Rosa, CA",13-14,3920
"Santa Rosa, CA",15-16,4105
"Santa Rosa, CA",17-18,5932
"Santa Rosa, CA",19-20,5384
"Santa Rosa, CA",21-22,3531
"Savannah, GA",11-12,4505
"Savannah, GA",13-14,5062
"Savannah, GA",15-16,4105
"Savannah, GA",17-18,3815
"Savannah, GA",19-20,3597
"Savannah, GA",21-22,4824
"Scranton, PA",11-12,5950
"Scranton, PA",13-14,3380
"Scranton, PA",15-16,4759
"Scranton, PA",17-18,5896
"Scranton, PA",19-20,5433
"Scranton, PA",21-22,5541
"Seattle, WA",11-12,20295
"Seattle, WA",13-14,21107
"Seattle, WA",15-16,18509
"Seattle, WA",17-18,16774
"Seattle, WA",19-20,14679
"Seattle, WA",21-22,16735
"Shreveport, LA",11-12,1981
"Shreveport, LA",13-14,1730
"Shreveport, LA",15-16,2009
"Shreveport, LA",17-18,1508
"Shreveport, LA",19-20,1683
"Shreveport, LA",21-22,1623
"Sioux City, IA",11-12,6073
"Sioux City, IA",13-14,4838
"Sioux City, IA",15-16,5493
"Sioux City, IA",17-18,5974
"Sioux City, IA",19-20,6619
"Sioux City, IA",21-22,7010
"Sioux Falls, SD",11-12,5285
"Sioux Falls, SD",13-14,3312
"Sioux Falls, SD",15-16,3169
"Sioux Falls, SD",17-18,4196
"Sioux Falls, SD",19-20,4348
"Sioux Falls, SD",21-22,5913
"Spokane, WA",11-12,4587
"Spokane, WA",13-14,4179
"Spokane, WA",15-16,3497
"Spokane, WA",17-18,4480
"Spokane, WA",19-20,3527
"Spokane, WA",21-22,4498
"Springfield, IL",11-12,10103
"Springfield, IL",13-14,8691
"Springfield, IL",15-16,8891
"Springfield, IL",17-18,9837
"Springfield, IL",19-20,8311
"Springfield, IL",21-22,7888
"Springfield, MA",11-12,4212
"Springfield, MA",13-14,3691
"Springfield, MA",15-16,3572
"Springfield, MA",17-18,2951
"Springfield, MA",19-20,2536
"Springfield, MA",21-22,2913
"Springfield-Cape Girardeau, MO",11-12,4549
"Springfield-Cape Girardeau, MO",13-14,3511
"Springfield-Cape Girardeau, MO",15-16,3935
"Springfield-Cape Girardeau, MO",17-18,3493
"Springfield-Cape Girardeau, MO",19-20,3087
"Springfield-Cape Girardeau, MO",21-22,3809
"St. Augustine, FL",11-12,10210
"St. Augustine, FL",13-14,10622
"St. Augustine, FL",15-16,10242
"St. Augustine, FL",17-18,10236
"St. Augustine, FL",19-20,7072
"St. Augustine, FL",21-22,8529
"St. Cloud, MN",11-12,5554
"St. Cloud, MN",13-14,5248
"St. Cloud, MN",15-16,4361
"St. Cloud, MN",17-18,4769
"St. Cloud, MN",19-20,4868
"St. Cloud, MN",21-22,4653
"St. Louis, MO",11-12,41476
"St. Louis, MO",13-14,37444
"St. Louis, MO",15-16,30466
"St. Louis, MO",17-18,32103
"St. Louis, MO",19-20,29380
"St. Louis, MO",21-22,30144
"St. Paul-Minneapolis, MN",11-12,30580
"St. Paul-Minneapolis, MN",13-14,25299
"St. Paul-Minneapolis, MN",15-16,20692
"St. Paul-Minneapolis, MN",17-18,24154
"St. Paul-Minneapolis, MN",19-20,17458
"St. Paul-Minneapolis, MN",21-22,24543
"St. Petersburg, FL",11-12,11275
"St. Petersburg, FL",13-14,9469
"St. Petersburg, FL",15-16,10328
"St. Petersburg, FL",17-18,10433
"St. Petersburg, FL",19-20,11102
"St. Petersburg, FL",21-22,12790
"Steubenville, OH",11-12,2154
"Steubenville, OH",13-14,2054
"Steubenville, OH",15-16,1963
"Steubenville, OH",17-18,1455
"Steubenville, OH",19-20,1619
"Steubenville, OH",21-22,1278
"Stockton, CA",11-12,4081
"Stockton, CA",13-14,3690
"Stockton, CA",15-16,3748
"Stockton, CA",17-18,3606
"Stockton, CA",19-20,3009
"Stockton, CA",21-22,3850
"Superior, WI",11-12,2425
"Superior, WI",13-14,2272
"Superior, WI",15-16,2049
"Superior, WI",17-18,1657
"Superior, WI",19-20,1605
"Superior, WI",21-22,1641
"Syracuse, NY",11-12,6217
"Syracuse, NY",13-14,5497
"Syracuse, NY",15-16,4499
"Syracuse, NY",17-18,3836
"Syracuse, NY",19-20,4304
"Syracuse, NY",21-22,3430
"Toledo, OH",11-12,19049
"Toledo, OH",13-14,17926
"Toledo, OH",15-16,12944
"Toledo, OH",17-18,15716
"Toledo, OH",19-20,15212
"Toledo, OH",21-22,14886
"Trenton, NJ",11-12,19180
"Trenton, NJ",13-14,17816
"Trenton, NJ",15-16,14337
"Trenton, NJ",17-18,12766
"Trenton, NJ",19-20,11117
"Trenton, NJ",21-22,9802
"Tucson, AZ",11-12,6126
"Tucson, AZ",13-14,5836
"Tucson, AZ",15-16,3739
"Tucson, AZ",17-18,5372
"Tucson, AZ",19-20,4638
"Tucson, AZ",21-22,5841
"Tulsa, OK",11-12,4587
"Tulsa, OK",13-14,3413
"Tulsa, OK",15-16,3641
"Tulsa, OK",17-18,4094
"Tulsa, OK",19-20,3691
"Tulsa, OK",21-22,3558
"Tyler, TX",11-12,1078
"Tyler, TX",13-14,677
"Tyler, TX",15-16,943
"Tyler, TX",17-18,289
"Tyler, TX",19-20,267
"Tyler, TX",21-22,484
"Venice, FL",11-12,4745
"Venice, FL",13-14,4111
"Venice, FL",15-16,3013
"Venice, FL",17-18,4647
"Venice, FL",19-20,4308
"Venice, FL",21-22,4250
"Victoria, TX",11-12,2852
"Victoria, TX",13-14,2495
"Victoria, TX",15-16,2767
"Victoria, TX",17-18,2569
"Victoria, TX",19-20,2319
"Victoria, TX",21-22,2674
"Washington, DC",11-12,26380
"Washington, DC",13-14,23378
"Washington, DC",15-16,21592
"Washington, DC",17-18,23254
"Washington, DC",19-20,23510
"Washington, DC",21-22,24527
"Wheeling-Charleston, WV",11-12,5514
"Wheeling-Charleston, WV",13-14,5443
"Wheeling-Charleston, WV",15-16,5311
"Wheeling-Charleston, WV",17-18,4935
"Wheeling-Charleston, WV",19-20,4394
"Wheeling-Charleston, WV",21-22,4115
"Wichita, KS",11-12,10295
"Wichita, KS",13-14,7546
"Wichita, KS",15-16,8350
"Wichita, KS",17-18,9025
"Wichita, KS",19-20,9786
"Wichita, KS",21-22,6936
"Wilmington, DE",11-12,11064
"Wilmington, DE",13-14,10145
"Wilmington, DE",15-16,7375
"Wilmington, DE",17-18,7608
"Wilmington, DE",19-20,6320
"Wilmington, DE",21-22,6372
"Winona, MN",11-12,5065
"Winona, MN",13-14,5864
"Winona, MN",15-16,3350
"Winona, MN",17-18,4330
"Winona, MN",19-20,3971
"Winona, MN",21-22,4315
"Worcester, MA",11-12,7732
"Worcester, MA",13-14,6364
"Worcester, MA",15-16,4283
"Worcester, MA",17-18,5330
"Worcester, MA",19-20,5164
"Worcester, MA",21-22,4057
"Yakima, WA",11-12,998
"Yakima, WA",13-14,1053
"Yakima, WA",15-16,1543
"Yakima, WA",17-18,1593
"Yakima, WA",19-20,1734
"Yakima, WA",21-22,1694
"Youngstown, OH",11-12,8051
"Youngstown, OH",13-14,8007
"Youngstown, OH",15-16,7790
"Youngstown, OH",17-18,7261
"Youngstown, OH",19-20,6066
"Youngstown, OH",21-22,6645
