Diocese,School Year,21-22 Enrollment,19-20 Enrollment,21-22 Enrollment as Proportion of 19-20 Enrollment,19-20 to 21-22 Enrollment Change,19-20 to 21-22 Enrollment Change Rank,19-20 to 21-22 Enrollment Change Percentile,21-22 Enrollment as Proportion of 19-20 Enrollment Rank,21-22 Enrollment as Proportion of 19-20 Enrollment Percentile,17-18 Enrollment,21-22 Enrollment as Proportion of 17-18 Enrollment,17-18 to 21-22 Enrollment Change,17-18 to 21-22 Enrollment Change Rank,17-18 to 21-22 Enrollment Change Percentile,21-22 Enrollment as Proportion of 17-18 Enrollment Rank,21-22 Enrollment as Proportion of 17-18 Enrollment Percentile,11-12 Enrollment,21-22 Enrollment as Proportion of 11-12 Enrollment,11-12 to 21-22 Enrollment Change,11-12 to 21-22 Enrollment Change Rank,11-12 to 21-22 Enrollment Change Percentile,21-22 Enrollment as Proportion of 11-12 Enrollment Rank,21-22 Enrollment as Proportion of 11-12 Enrollment Percentile
"Brooklyn, NY",21-22,25778,24965,1.03256559182856,813,44.0,75.42857142857143,98.0,44.57142857142857,32013,0.8052353731296661,-6235,171.0,2.857142857142857,134.0,24.0,41152,0.6264094090202177,-15374,171.0,2.857142857142857,142.0,19.428571428571427
"Brownsville, TX",21-22,1365,2085,0.6546762589928058,-720,152.0,13.714285714285715,173.0,1.7142857142857144,2411,0.566155122355869,-1046,123.0,30.28571428571429,173.0,1.7142857142857144,4211,0.3241510330087865,-2846,126.0,28.57142857142857,175.0,0.5714285714285714
"Buffalo, NY",21-22,8198,5710,1.4357267950963222,2488,6.0,97.14285714285714,8.0,96.0,10725,0.7643822843822844,-2527,150.0,14.857142857142858,146.0,17.142857142857142,15293,0.536062250702936,-7095,161.0,8.571428571428571,162.0,8.0
"Burlington, VT",21-22,1460,1795,0.8133704735376045,-335,136.0,22.857142857142858,160.0,9.142857142857142,1865,0.7828418230563002,-405,100.0,43.42857142857143,138.0,21.714285714285715,2043,0.714635340186001,-583,60.0,66.28571428571428,120.0,32.0
"Camden, NJ",21-22,8921,8614,1.0356396563733457,307,81.0,54.285714285714285,96.0,45.714285714285715,10841,0.8228945669218707,-1920,139.0,21.142857142857142,127.0,28.000000000000004,15774,0.5655509065550907,-6853,159.0,9.714285714285714,157.0,10.857142857142858
"Charleston, SC",21-22,5666,5424,1.0446165191740413,242,86.0,51.42857142857142,87.0,50.857142857142854,6189,0.9154952334787526,-523,103.0,41.714285714285715,96.0,45.714285714285715,6283,0.9017985038994111,-617,63.0,64.57142857142857,51.0,71.42857142857143
"Charlotte, NC",21-22,6327,4957,1.2763768408311478,1370,23.0,87.42857142857143,20.0,89.14285714285714,6117,1.034330554193232,210,48.0,73.14285714285714,58.0,67.42857142857143,7801,0.8110498654018715,-1474,94.0,46.85714285714286,82.0,53.714285714285715
"Cheyenne, WY",21-22,513,935,0.5486631016042781,-422,140.0,20.57142857142857,175.0,0.5714285714285714,678,0.7566371681415929,-165,84.0,52.57142857142857,150.0,14.857142857142858,990,0.5181818181818182,-477,52.0,70.85714285714285,167.0,5.142857142857142
"Chicago, IL",21-22,50439,51084,0.9873737373737373,-645,146.0,17.142857142857142,113.0,36.0,60878,0.8285259042675515,-10439,175.0,0.5714285714285714,126.0,28.57142857142857,84683,0.5956213171474795,-34244,175.0,0.5714285714285714,149.0,15.428571428571427
"Cincinnati, OH",21-22,34677,31203,1.111335448514566,3474,2.0,99.42857142857143,58.0,67.42857142857143,37888,0.9152502111486487,-3211,162.0,8.0,98.0,44.57142857142857,41773,0.830129509491777,-7096,162.0,8.0,73.0,58.857142857142854
"Cleveland, OH",21-22,33192,30100,1.1027242524916943,3092,4.0,98.28571428571429,62.0,65.14285714285715,34894,0.9512237060812747,-1702,134.0,24.0,85.0,52.0,42921,0.7733277416649192,-9729,165.0,6.2857142857142865,102.0,42.285714285714285
"Colorado Springs, CO",21-22,1640,1952,0.8401639344262295,-312,132.0,25.142857142857146,154.0,12.571428571428573,1891,0.8672659968270756,-251,90.0,49.142857142857146,112.0,36.57142857142857,1587,1.033396345305608,53,29.0,84.0,26.0,85.71428571428571
"Columbus, OH",21-22,13507,12671,1.0659774287743666,836,41.0,77.14285714285715,77.0,56.57142857142857,13210,1.0224829674489024,297,38.0,78.85714285714286,62.0,65.14285714285715,17074,0.7910858615438678,-3567,135.0,23.42857142857143,91.0,48.57142857142857
"Corpus Christi, TX",21-22,1766,2166,0.8153277931671283,-400,138.0,21.714285714285715,159.0,9.714285714285714,2469,0.7152693398136898,-703,116.0,34.285714285714285,161.0,8.571428571428571,3602,0.49028317601332594,-1836,103.0,41.714285714285715,169.0,4.0
