School Year,State,Diocese,County & State,State ANSI Code,County Code,Enrollment
11-12,AK,"Anchorage, AK","Anchorage Municipality, AK",2,20,331
11-12,AK,"Anchorage, AK","Kodiak Island Borough, AK",2,150,93
11-12,AK,"Anchorage, AK","Matanuska-Susitna Borough, AK",2,170,57
11-12,AK,"Fairbanks, AK","Fairbanks North Star Borough, AK",2,90,491
11-12,AK,"Juneau, AK","Ketchikan Gateway Borough, AK",2,130,92
11-12,AL,"Birmingham, AL","Calhoun County, AL",1,15,246
11-12,AL,"Birmingham, AL","Cullman County, AL",1,43,307
11-12,AL,"Birmingham, AL","Etowah County, AL",1,55,113
11-12,AL,"Birmingham, AL","Jefferson County, AL",1,73,2706
11-12,AL,"Birmingham, AL","Lauderdale County, AL",1,77,189
11-12,AL,"Birmingham, AL","Madison County, AL",1,89,1445
11-12,AL,"Birmingham, AL","Morgan County, AL",1,103,105
11-12,AL,"Birmingham, AL","Shelby County, AL",1,117,412
11-12,AL,"Birmingham, AL","Tuscaloosa County, AL",1,125,245
11-12,AL,"Mobile, AL","Baldwin County, AL",1,3,867
11-12,AL,"Mobile, AL","Houston County, AL",1,69,37
11-12,AL,"Mobile, AL","Macon County, AL",1,87,62
11-12,AL,"Mobile, AL","Mobile County, AL",1,97,4063
11-12,AL,"Mobile, AL","Montgomery County, AL",1,101,1020
11-12,AL,"Mobile, AL","Russell County, AL",1,113,136
11-12,AR,"Little Rock, AR","Arkansas County, AR",5,1,52
11-12,AR,"Little Rock, AR","Benton County, AR",5,7,316
11-12,AR,"Little Rock, AR","Chicot County, AR",5,17,60
11-12,AR,"Little Rock, AR","Conway County, AR",5,29,224
11-12,AR,"Little Rock, AR","Craighead County, AR",5,31,124
11-12,AR,"Little Rock, AR","Crittenden County, AR",5,35,85
11-12,AR,"Little Rock, AR","Faulkner County, AR",5,45,456
11-12,AR,"Little Rock, AR","Garland County, AR",5,51,113
11-12,AR,"Little Rock, AR","Greene County, AR",5,55,51
11-12,AR,"Little Rock, AR","Jefferson County, AR",5,69,145
11-12,AR,"Little Rock, AR","Logan County, AR",5,83,261
11-12,AR,"Little Rock, AR","Pope County, AR",5,115,90
11-12,AR,"Little Rock, AR","Pulaski County, AR",5,119,3368
11-12,AR,"Little Rock, AR","Randolph County, AR",5,121,127
11-12,AR,"Little Rock, AR","Saline County, AR",5,125,66
11-12,AR,"Little Rock, AR","Sebastian County, AR",5,131,1030
11-12,AR,"Little Rock, AR","Washington County, AR",5,143,447
11-12,AZ,"Gallup, NM","Apache County, AZ",4,1,342
11-12,AZ,"Phoenix, AZ","Coconino County, AZ",4,5,223
11-12,AZ,"Phoenix, AZ","Maricopa County, AZ",4,13,12912
11-12,AZ,"Phoenix, AZ","Navajo County, AZ",4,17,214
11-12,AZ,"Phoenix, AZ","Pinal County, AZ",4,21,187
11-12,AZ,"Phoenix, AZ","Yavapai County, AZ",4,25,442
11-12,AZ,"Tucson, AZ","Cochise County, AZ",4,3,307
11-12,AZ,"Tucson, AZ","Gila County, AZ",4,7,129
11-12,AZ,"Tucson, AZ","Pima County, AZ",4,19,4440
11-12,AZ,"Tucson, AZ","Pinal County, AZ",4,21,228
11-12,AZ,"Tucson, AZ","Santa Cruz County, AZ",4,23,522
11-12,AZ,"Tucson, AZ","Yuma County, AZ",4,27,500
11-12,CA,"Fresno, CA","Fresno County, CA",6,19,2263
11-12,CA,"Fresno, CA","Kern County, CA",6,29,1714
11-12,CA,"Fresno, CA","Kings County, CA",6,31,361
11-12,CA,"Fresno, CA","Madera County, CA",6,39,334
11-12,CA,"Fresno, CA","Merced County, CA",6,47,835
11-12,CA,"Fresno, CA","Tulare County, CA",6,107,625
11-12,CA,"Los Angeles, CA","Los Angeles County, CA",6,37,69866
11-12,CA,"Los Angeles, CA","Santa Barbara County, CA",6,83,2081
11-12,CA,"Los Angeles, CA","Ventura County, CA",6,111,3996
11-12,CA,"Monterey, CA","Monterey County, CA",6,53,1857
11-12,CA,"Monterey, CA","San Benito County, CA",6,69,267
11-12,CA,"Monterey, CA","San Luis Obispo County, CA",6,79,1242
11-12,CA,"Monterey, CA","Santa Cruz County, CA",6,87,1024
11-12,CA,"Oakland, CA","Alameda County, CA",6,1,9273
11-12,CA,"Oakland, CA","Contra Costa County, CA",6,13,7491
11-12,CA,"Orange, CA","Orange County, CA",6,59,19604
11-12,CA,"Sacramento, CA","Butte County, CA",6,7,295
11-12,CA,"Sacramento, CA","Colusa County, CA",6,11,127
11-12,CA,"Sacramento, CA","El Dorado County, CA",6,17,436
11-12,CA,"Sacramento, CA","Nevada County, CA",6,57,158
11-12,CA,"Sacramento, CA","Placer County, CA",6,61,516
11-12,CA,"Sacramento, CA","Sacramento County, CA",6,67,8232
11-12,CA,"Sacramento, CA","Shasta County, CA",6,89,161
11-12,CA,"Sacramento, CA","Solano County, CA",6,95,2578
11-12,CA,"Sacramento, CA","Sutter County, CA",6,101,225
11-12,CA,"Sacramento, CA","Tehama County, CA",6,103,227
11-12,CA,"Sacramento, CA","Yolo County, CA",6,113,890
11-12,CA,"San Bernardino, CA","Riverside County, CA",6,65,4103
11-12,CA,"San Bernardino, CA","San Bernardino County, CA",6,71,3197
11-12,CA,"San Diego, CA","Imperial County, CA",6,25,1152
11-12,CA,"San Diego, CA","San Diego County, CA",6,73,15285
11-12,CA,"San Francisco, CA","Marin County, CA",6,41,2891
11-12,CA,"San Francisco, CA","San Francisco County, CA",6,75,12492
11-12,CA,"San Francisco, CA","San Mateo County, CA",6,81,8640
11-12,CA,"San Jose, CA","Santa Clara County, CA",6,85,14848
11-12,CA,"Santa Rosa, CA","Humboldt County, CA",6,23,348
11-12,CA,"Santa Rosa, CA","Mendocino County, CA",6,45,229
11-12,CA,"Santa Rosa, CA","Napa County, CA",6,55,809
11-12,CA,"Santa Rosa, CA","Sonoma County, CA",6,97,2564
11-12,CA,"Stockton, CA","San Joaquin County, CA",6,77,2682
11-12,CA,"Stockton, CA","Stanislaus County, CA",6,99,1399
11-12,CO,"Colorado Springs, CO","Douglas County, CO",8,35,490
11-12,CO,"Colorado Springs, CO","El Paso County, CO",8,41,1097
11-12,CO,"Denver, CO","Adams County, CO",8,1,484
11-12,CO,"Denver, CO","Arapahoe County, CO",8,5,4599
11-12,CO,"Denver, CO","Boulder County, CO",8,13,935
11-12,CO,"Denver, CO","Broomfield County, CO",8,14,1034
11-12,CO,"Denver, CO","Denver County, CO",8,31,5150
11-12,CO,"Denver, CO","Eagle County, CO",8,37,157
11-12,CO,"Denver, CO","Garfield County, CO",8,45,211
11-12,CO,"Denver, CO","Jefferson County, CO",8,59,1200
11-12,CO,"Denver, CO","Larimer County, CO",8,69,461
11-12,CO,"Denver, CO","Logan County, CO",8,75,177
11-12,CO,"Denver, CO","Weld County, CO",8,123,185
11-12,CO,"Pueblo, CO","La Plata County, CO",8,67,247
11-12,CO,"Pueblo, CO","Mesa County, CO",8,77,387
11-12,CO,"Pueblo, CO","Montrose County, CO",8,85,28
11-12,CO,"Pueblo, CO","Pueblo County, CO",8,101,309
11-12,CT,"Bridgeport, CT","Fairfield County, CT",9,1,11038
11-12,CT,"Hartford, CT","Hartford County, CT",9,3,6652
11-12,CT,"Hartford, CT","Litchfield County, CT",9,5,924
11-12,CT,"Hartford, CT","New Haven County, CT",9,9,7824
11-12,CT,"Norwich, CT","Middlesex County, CT",9,7,2016
11-12,CT,"Norwich, CT","New London County, CT",9,11,1783
11-12,CT,"Norwich, CT","Tolland County, CT",9,13,173
11-12,CT,"Norwich, CT","Windham County, CT",9,15,899
11-12,DC,"Washington, DC","District Of Columbia, DC",11,1,6166
11-12,DE,"Wilmington, DE","Kent County, DE",10,1,822
11-12,DE,"Wilmington, DE","New Castle County, DE",10,3,8726
11-12,DE,"Wilmington, DE","Sussex County, DE",10,5,6
11-12,FL,"Miami, FL","Broward County, FL",12,11,12653
11-12,FL,"Miami, FL","Miami-Dade County, FL",12,86,20566
11-12,FL,"Miami, FL","Monroe County, FL",12,87,176
11-12,FL,"Orlando, FL","Brevard County, FL",12,9,2614
11-12,FL,"Orlando, FL","Lake County, FL",12,69,179
11-12,FL,"Orlando, FL","Marion County, FL",12,83,1207
11-12,FL,"Orlando, FL","Orange County, FL",12,95,4796
11-12,FL,"Orlando, FL","Osceola County, FL",12,97,541
11-12,FL,"Orlando, FL","Polk County, FL",12,105,1004
11-12,FL,"Orlando, FL","Seminole County, FL",12,117,1377
11-12,FL,"Orlando, FL","Volusia County, FL",12,127,1449
11-12,FL,"Palm Beach, FL","Indian River County, FL",12,61,227
11-12,FL,"Palm Beach, FL","Martin County, FL",12,85,438
11-12,FL,"Palm Beach, FL","Palm Beach County, FL",12,99,3434
11-12,FL,"Palm Beach, FL","St. Lucie County, FL",12,111,915
11-12,FL,"Pensacola-Tallahassee, FL","Bay County, FL",12,5,108
11-12,FL,"Pensacola-Tallahassee, FL","Escambia County, FL",12,33,1372
11-12,FL,"Pensacola-Tallahassee, FL","Leon County, FL",12,73,597
11-12,FL,"Pensacola-Tallahassee, FL","Okaloosa County, FL",12,91,416
11-12,FL,"St. Augustine, FL","Alachua County, FL",12,1,930
11-12,FL,"St. Augustine, FL","Clay County, FL",12,19,428
11-12,FL,"St. Augustine, FL","Columbia County, FL",12,23,94
11-12,FL,"St. Augustine, FL","Duval County, FL",12,31,6898
11-12,FL,"St. Augustine, FL","Flagler County, FL",12,35,214
11-12,FL,"St. Augustine, FL","Nassau County, FL",12,89,222
11-12,FL,"St. Augustine, FL","St. Johns County, FL",12,109,1424
11-12,FL,"St. Petersburg, FL","Citrus County, FL",12,17,186
11-12,FL,"St. Petersburg, FL","Hernando County, FL",12,53,162
11-12,FL,"St. Petersburg, FL","Hillsborough County, FL",12,57,6005
11-12,FL,"St. Petersburg, FL","Pasco County, FL",12,101,507
11-12,FL,"St. Petersburg, FL","Pinellas County, FL",12,103,4415
11-12,FL,"Venice, FL","Charlotte County, FL",12,15,177
11-12,FL,"Venice, FL","Collier County, FL",12,21,1267
11-12,FL,"Venice, FL","Highlands County, FL",12,55,71
11-12,FL,"Venice, FL","Lee County, FL",12,71,1632
11-12,FL,"Venice, FL","Manatee County, FL",12,81,264
11-12,FL,"Venice, FL","Sarasota County, FL",12,115,1334
11-12,GA,"Atlanta, GA","Clarke County, GA",13,59,379
11-12,GA,"Atlanta, GA","Cobb County, GA",13,67,909
11-12,GA,"Atlanta, GA","Dekalb County, GA",13,89,3858
11-12,GA,"Atlanta, GA","Douglas County, GA",13,97,75
11-12,GA,"Atlanta, GA","Fayette County, GA",13,113,570
11-12,GA,"Atlanta, GA","Floyd County, GA",13,115,272
11-12,GA,"Atlanta, GA","Forsyth County, GA",13,117,831
11-12,GA,"Atlanta, GA","Fulton County, GA",13,121,3999
11-12,GA,"Atlanta, GA","Gwinnett County, GA",13,135,960
11-12,GA,"Savannah, GA","Bibb County, GA",13,21,475
11-12,GA,"Savannah, GA","Chatham County, GA",13,51,1774
11-12,GA,"Savannah, GA","Dougherty County, GA",13,95,158
11-12,GA,"Savannah, GA","Glynn County, GA",13,127,255
11-12,GA,"Savannah, GA","Houston County, GA",13,153,191
11-12,GA,"Savannah, GA","Lowndes County, GA",13,185,220
11-12,GA,"Savannah, GA","Muscogee County, GA",13,215,605
11-12,GA,"Savannah, GA","Richmond County, GA",13,245,827
11-12,HI,"Honolulu, HI","Hawaii County, HI",15,1,276
11-12,HI,"Honolulu, HI","Honolulu County, HI",15,3,7503
11-12,HI,"Honolulu, HI","Kauai County, HI",15,7,257
11-12,HI,"Honolulu, HI","Maui County, HI",15,9,597
11-12,IA,"Davenport, IA","Clinton County, IA",19,45,501
11-12,IA,"Davenport, IA","Des Moines County, IA",19,57,446
11-12,IA,"Davenport, IA","Johnson County, IA",19,103,919
11-12,IA,"Davenport, IA","Lee County, IA",19,111,590
11-12,IA,"Davenport, IA","Scott County, IA",19,163,2129
11-12,IA,"Davenport, IA","Wapello County, IA",19,179,83
11-12,IA,"Davenport, IA","Washington County, IA",19,183,117
11-12,IA,"Des Moines, IA","Dallas County, IA",19,49,890
11-12,IA,"Des Moines, IA","Polk County, IA",19,153,3942
11-12,IA,"Des Moines, IA","Pottawattamie County, IA",19,155,778
11-12,IA,"Des Moines, IA","Shelby County, IA",19,165,158
11-12,IA,"Des Moines, IA","Union County, IA",19,175,185
11-12,IA,"Dubuque, IA","Allamakee County, IA",19,5,137
11-12,IA,"Dubuque, IA","Black Hawk County, IA",19,13,1691
11-12,IA,"Dubuque, IA","Buchanan County, IA",19,19,257
11-12,IA,"Dubuque, IA","Cerro Gordo County, IA",19,33,640
11-12,IA,"Dubuque, IA","Chickasaw County, IA",19,37,184
11-12,IA,"Dubuque, IA","Clayton County, IA",19,43,95
11-12,IA,"Dubuque, IA","Dubuque County, IA",19,61,4126
11-12,IA,"Dubuque, IA","Fayette County, IA",19,65,169
11-12,IA,"Dubuque, IA","Floyd County, IA",19,67,171
11-12,IA,"Dubuque, IA","Hamilton County, IA",19,79,68
11-12,IA,"Dubuque, IA","Howard County, IA",19,89,250
11-12,IA,"Dubuque, IA","Jackson County, IA",19,97,397
11-12,IA,"Dubuque, IA","Jones County, IA",19,105,244
11-12,IA,"Dubuque, IA","Linn County, IA",19,113,2896
11-12,IA,"Dubuque, IA","Marshall County, IA",19,127,216
11-12,IA,"Dubuque, IA","Mitchell County, IA",19,131,67
11-12,IA,"Dubuque, IA","Story County, IA",19,169,293
11-12,IA,"Dubuque, IA","Winneshiek County, IA",19,191,382
11-12,IA,"Sioux City, IA","Boone County, IA",19,15,173
11-12,IA,"Sioux City, IA","Buena Vista County, IA",19,21,315
11-12,IA,"Sioux City, IA","Carroll County, IA",19,27,1000
11-12,IA,"Sioux City, IA","Clay County, IA",19,41,179
11-12,IA,"Sioux City, IA","Crawford County, IA",19,47,65
11-12,IA,"Sioux City, IA","Humboldt County, IA",19,91,188
11-12,IA,"Sioux City, IA","Kossuth County, IA",19,109,583
11-12,IA,"Sioux City, IA","O'Brien County, IA",19,141,85
11-12,IA,"Sioux City, IA","Palo Alto County, IA",19,147,78
11-12,IA,"Sioux City, IA","Plymouth County, IA",19,149,638
11-12,IA,"Sioux City, IA","Pocahontas County, IA",19,151,76
11-12,IA,"Sioux City, IA","Sioux County, IA",19,167,175
11-12,IA,"Sioux City, IA","Webster County, IA",19,187,858
11-12,IA,"Sioux City, IA","Woodbury County, IA",19,193,1660
11-12,ID,"Boise, ID","Ada County, ID",16,1,1729
11-12,ID,"Boise, ID","Bannock County, ID",16,5,189
11-12,ID,"Boise, ID","Bonneville County, ID",16,19,124
11-12,ID,"Boise, ID","Canyon County, ID",16,27,167
11-12,ID,"Boise, ID","Idaho County, ID",16,49,151
11-12,ID,"Boise, ID","Kootenai County, ID",16,55,237
11-12,ID,"Boise, ID","Latah County, ID",16,57,121
11-12,ID,"Boise, ID","Minidoka County, ID",16,67,105
11-12,ID,"Boise, ID","Nez Perce County, ID",16,69,156
11-12,ID,"Boise, ID","Twin Falls County, ID",16,83,158
11-12,IL,"Belleville, IL","Clinton County, IL",17,27,798
11-12,IL,"Belleville, IL","Franklin County, IL",17,55,101
11-12,IL,"Belleville, IL","Jackson County, IL",17,77,135
11-12,IL,"Belleville, IL","Marion County, IL",17,121,156
11-12,IL,"Belleville, IL","Monroe County, IL",17,133,851
11-12,IL,"Belleville, IL","Perry County, IL",17,145,156
11-12,IL,"Belleville, IL","Randolph County, IL",17,157,110
11-12,IL,"Belleville, IL","Richland County, IL",17,159,208
11-12,IL,"Belleville, IL","St. Clair County, IL",17,163,2654
11-12,IL,"Belleville, IL","Wabash County, IL",17,185,151
11-12,IL,"Belleville, IL","Washington County, IL",17,189,150
11-12,IL,"Belleville, IL","Williamson County, IL",17,199,320
11-12,IL,"Chicago, IL","Cook County, IL",17,31,76467
11-12,IL,"Chicago, IL","Lake County, IL",17,97,7919
11-12,IL,"Chicago, IL","Will County, IL",17,197,297
11-12,IL,"Joliet, IL","Dupage County, IL",17,43,12596
11-12,IL,"Joliet, IL","Grundy County, IL",17,63,221
11-12,IL,"Joliet, IL","Kankakee County, IL",17,91,885
11-12,IL,"Joliet, IL","Kendall County, IL",17,93,209
11-12,IL,"Joliet, IL","Will County, IL",17,197,6846
11-12,IL,"Peoria, IL","Bureau County, IL",17,11,99
11-12,IL,"Peoria, IL","Champaign County, IL",17,19,1318
11-12,IL,"Peoria, IL","Hancock County, IL",17,67,67
11-12,IL,"Peoria, IL","Henry County, IL",17,73,240
11-12,IL,"Peoria, IL","Knox County, IL",17,95,209
11-12,IL,"Peoria, IL","Lasalle County, IL",17,99,1460
11-12,IL,"Peoria, IL","Livingston County, IL",17,105,236
11-12,IL,"Peoria, IL","Logan County, IL",17,107,105
11-12,IL,"Peoria, IL","Mcdonough County, IL",17,109,182
11-12,IL,"Peoria, IL","Mclean County, IL",17,113,1253
11-12,IL,"Peoria, IL","Peoria County, IL",17,143,2743
11-12,IL,"Peoria, IL","Rock Island County, IL",17,161,1127
11-12,IL,"Peoria, IL","Tazewell County, IL",17,179,840
11-12,IL,"Peoria, IL","Vermilion County, IL",17,183,522
11-12,IL,"Peoria, IL","Warren County, IL",17,187,184
11-12,IL,"Peoria, IL","Woodford County, IL",17,203,133
11-12,IL,"Rockford, IL","Boone County, IL",17,7,173
11-12,IL,"Rockford, IL","Dekalb County, IL",17,37,468
11-12,IL,"Rockford, IL","Jo Daviess County, IL",17,85,90
11-12,IL,"Rockford, IL","Kane County, IL",17,89,5728
11-12,IL,"Rockford, IL","Lee County, IL",17,103,331
11-12,IL,"Rockford, IL","Mchenry County, IL",17,111,2975
11-12,IL,"Rockford, IL","Stephenson County, IL",17,177,332
11-12,IL,"Rockford, IL","Whiteside County, IL",17,195,657
11-12,IL,"Rockford, IL","Winnebago County, IL",17,201,3273
11-12,IL,"Springfield, IL","Adams County, IL",17,1,728
11-12,IL,"Springfield, IL","Brown County, IL",17,9,72
11-12,IL,"Springfield, IL","Calhoun County, IL",17,13,147
11-12,IL,"Springfield, IL","Christian County, IL",17,21,270
11-12,IL,"Springfield, IL","Coles County, IL",17,29,110
11-12,IL,"Springfield, IL","Edgar County, IL",17,45,96
11-12,IL,"Springfield, IL","Effingham County, IL",17,49,715
11-12,IL,"Springfield, IL","Greene County, IL",17,61,156
11-12,IL,"Springfield, IL","Jasper County, IL",17,79,173
11-12,IL,"Springfield, IL","Jersey County, IL",17,83,481
11-12,IL,"Springfield, IL","Macon County, IL",17,115,947
11-12,IL,"Springfield, IL","Macoupin County, IL",17,117,87
11-12,IL,"Springfield, IL","Madison County, IL",17,119,2978
11-12,IL,"Springfield, IL","Montgomery County, IL",17,135,84
11-12,IL,"Springfield, IL","Morgan County, IL",17,137,371
11-12,IL,"Springfield, IL","Sangamon County, IL",17,167,2571
11-12,IL,"Springfield, IL","Shelby County, IL",17,173,117
11-12,IN,"Evansville, IN","Daviess County, IN",18,27,128
11-12,IN,"Evansville, IN","Dubois County, IN",18,37,487
11-12,IN,"Evansville, IN","Gibson County, IN",18,51,657
11-12,IN,"Evansville, IN","Knox County, IN",18,83,351
11-12,IN,"Evansville, IN","Posey County, IN",18,129,474
11-12,IN,"Evansville, IN","Spencer County, IN",18,147,171
11-12,IN,"Evansville, IN","Vanderburgh County, IN",18,163,4025
11-12,IN,"Evansville, IN","Warrick County, IN",18,173,377
11-12,IN,"Ft. Wayne-South Bend, IN","Adams County, IN",18,1,347
11-12,IN,"Ft. Wayne-South Bend, IN","Allen County, IN",18,3,5824
11-12,IN,"Ft. Wayne-South Bend, IN","Dekalb County, IN",18,33,110
11-12,IN,"Ft. Wayne-South Bend, IN","Elkhart County, IN",18,39,689
11-12,IN,"Ft. Wayne-South Bend, IN","Huntington County, IN",18,69,185
11-12,IN,"Ft. Wayne-South Bend, IN","Kosciusko County, IN",18,85,205
11-12,IN,"Ft. Wayne-South Bend, IN","Laporte County, IN",18,91,33
11-12,IN,"Ft. Wayne-South Bend, IN","Marshall County, IN",18,99,171
11-12,IN,"Ft. Wayne-South Bend, IN","Noble County, IN",18,113,176
11-12,IN,"Ft. Wayne-South Bend, IN","St. Joseph County, IN",18,141,5863
11-12,IN,"Ft. Wayne-South Bend, IN","Wabash County, IN",18,169,77
11-12,IN,"Gary, IN","Lake County, IN",18,89,4893
11-12,IN,"Gary, IN","Laporte County, IN",18,91,728
11-12,IN,"Gary, IN","Porter County, IN",18,127,920
11-12,IN,"Indianapolis, IN","Bartholomew County, IN",18,5,360
11-12,IN,"Indianapolis, IN","Clark County, IN",18,19,1267
11-12,IN,"Indianapolis, IN","Dearborn County, IN",18,29,407
11-12,IN,"Indianapolis, IN","Decatur County, IN",18,31,191
11-12,IN,"Indianapolis, IN","Fayette County, IN",18,41,146
11-12,IN,"Indianapolis, IN","Floyd County, IN",18,43,1046
11-12,IN,"Indianapolis, IN","Franklin County, IN",18,47,460
11-12,IN,"Indianapolis, IN","Hancock County, IN",18,59,312
11-12,IN,"Indianapolis, IN","Harrison County, IN",18,61,107
11-12,IN,"Indianapolis, IN","Hendricks County, IN",18,63,716
11-12,IN,"Indianapolis, IN","Jackson County, IN",18,71,147
11-12,IN,"Indianapolis, IN","Jefferson County, IN",18,77,609
11-12,IN,"Indianapolis, IN","Jennings County, IN",18,79,215
11-12,IN,"Indianapolis, IN","Johnson County, IN",18,81,932
11-12,IN,"Indianapolis, IN","Lawrence County, IN",18,93,176
11-12,IN,"Indianapolis, IN","Marion County, IN",18,97,13509
11-12,IN,"Indianapolis, IN","Monroe County, IN",18,105,433
11-12,IN,"Indianapolis, IN","Ripley County, IN",18,137,603
11-12,IN,"Indianapolis, IN","Rush County, IN",18,139,81
11-12,IN,"Indianapolis, IN","Shelby County, IN",18,145,144
11-12,IN,"Indianapolis, IN","Vigo County, IN",18,167,292
11-12,IN,"Indianapolis, IN","Wayne County, IN",18,177,375
11-12,IN,"Lafayette, IN","Benton County, IN",18,7,117
11-12,IN,"Lafayette, IN","Cass County, IN",18,17,169
11-12,IN,"Lafayette, IN","Delaware County, IN",18,35,265
11-12,IN,"Lafayette, IN","Grant County, IN",18,53,109
11-12,IN,"Lafayette, IN","Hamilton County, IN",18,57,2754
11-12,IN,"Lafayette, IN","Howard County, IN",18,67,312
11-12,IN,"Lafayette, IN","Jasper County, IN",18,73,118
11-12,IN,"Lafayette, IN","Madison County, IN",18,95,373
11-12,IN,"Lafayette, IN","Tippecanoe County, IN",18,157,1016
11-12,IN,"Lafayette, IN","Tipton County, IN",18,159,87
11-12,KS,"Dodge City, KS","Barton County, KS",20,9,266
11-12,KS,"Dodge City, KS","Finney County, KS",20,55,316
11-12,KS,"Dodge City, KS","Ford County, KS",20,57,253
11-12,KS,"Dodge City, KS","Ness County, KS",20,135,82
11-12,KS,"Dodge City, KS","Pratt County, KS",20,151,77
11-12,KS,"Kansas City, KS","Anderson County, KS",20,3,65
11-12,KS,"Kansas City, KS","Atchison County, KS",20,5,407
11-12,KS,"Kansas City, KS","Douglas County, KS",20,45,567
11-12,KS,"Kansas City, KS","Franklin County, KS",20,59,75
11-12,KS,"Kansas City, KS","Johnson County, KS",20,91,8299
11-12,KS,"Kansas City, KS","Leavenworth County, KS",20,103,404
11-12,KS,"Kansas City, KS","Lyon County, KS",20,111,96
11-12,KS,"Kansas City, KS","Marshall County, KS",20,117,174
11-12,KS,"Kansas City, KS","Miami County, KS",20,121,370
11-12,KS,"Kansas City, KS","Nemaha County, KS",20,131,174
11-12,KS,"Kansas City, KS","Shawnee County, KS",20,177,1985
11-12,KS,"Kansas City, KS","Wyandotte County, KS",20,209,1401
11-12,KS,"Salina, KS","Dickinson County, KS",20,41,120
11-12,KS,"Salina, KS","Ellis County, KS",20,51,722
11-12,KS,"Salina, KS","Geary County, KS",20,61,189
11-12,KS,"Salina, KS","Logan County, KS",20,109,74
11-12,KS,"Salina, KS","Mitchell County, KS",20,123,255
11-12,KS,"Salina, KS","Riley County, KS",20,161,242
11-12,KS,"Salina, KS","Rooks County, KS",20,163,95
11-12,KS,"Salina, KS","Saline County, KS",20,169,631
11-12,KS,"Salina, KS","Thomas County, KS",20,193,129
11-12,KS,"Salina, KS","Washington County, KS",20,201,90
11-12,KS,"Wichita, KS","Butler County, KS",20,15,117
11-12,KS,"Wichita, KS","Cowley County, KS",20,35,146
11-12,KS,"Wichita, KS","Crawford County, KS",20,37,603
11-12,KS,"Wichita, KS","Kingman County, KS",20,95,171
11-12,KS,"Wichita, KS","Labette County, KS",20,99,118
11-12,KS,"Wichita, KS","Mcpherson County, KS",20,113,93
11-12,KS,"Wichita, KS","Montgomery County, KS",20,125,228
11-12,KS,"Wichita, KS","Neosho County, KS",20,133,90
11-12,KS,"Wichita, KS","Reno County, KS",20,155,688
11-12,KS,"Wichita, KS","Sedgwick County, KS",20,173,7916
11-12,KS,"Wichita, KS","Sumner County, KS",20,191,125
11-12,KY,"Covington, KY","Boone County, KY",21,15,2059
11-12,KY,"Covington, KY","Bracken County, KY",21,23,92
11-12,KY,"Covington, KY","Campbell County, KY",21,37,2607
11-12,KY,"Covington, KY","Harrison County, KY",21,97,36
11-12,KY,"Covington, KY","Kenton County, KY",21,117,4849
11-12,KY,"Lexington, KY","Bell County, KY",21,13,64
11-12,KY,"Lexington, KY","Bourbon County, KY",21,17,76
11-12,KY,"Lexington, KY","Boyd County, KY",21,19,146
11-12,KY,"Lexington, KY","Clark County, KY",21,49,144
11-12,KY,"Lexington, KY","Fayette County, KY",21,67,2598
11-12,KY,"Lexington, KY","Floyd County, KY",21,71,92
11-12,KY,"Lexington, KY","Franklin County, KY",21,73,142
11-12,KY,"Lexington, KY","Johnson County, KY",21,115,64
11-12,KY,"Lexington, KY","Knox County, KY",21,121,119
11-12,KY,"Lexington, KY","Madison County, KY",21,151,73
11-12,KY,"Lexington, KY","Pike County, KY",21,195,77
11-12,KY,"Lexington, KY","Scott County, KY",21,209,181
11-12,KY,"Lexington, KY","Woodford County, KY",21,239,164
11-12,KY,"Louisville, KY","Bullitt County, KY",21,29,132
11-12,KY,"Louisville, KY","Hardin County, KY",21,93,414
11-12,KY,"Louisville, KY","Jefferson County, KY",21,111,16779
11-12,KY,"Louisville, KY","Marion County, KY",21,155,148
11-12,KY,"Louisville, KY","Nelson County, KY",21,179,1020
11-12,KY,"Louisville, KY","Oldham County, KY",21,185,483
11-12,KY,"Louisville, KY","Shelby County, KY",21,211,42
11-12,KY,"Louisville, KY","Washington County, KY",21,229,194
11-12,KY,"Owensboro, KY","Breckinridge County, KY",21,27,290
11-12,KY,"Owensboro, KY","Christian County, KY",21,47,159
11-12,KY,"Owensboro, KY","Daviess County, KY",21,59,1895
11-12,KY,"Owensboro, KY","Graves County, KY",21,83,48
11-12,KY,"Owensboro, KY","Grayson County, KY",21,85,19
11-12,KY,"Owensboro, KY","Henderson County, KY",21,101,483
11-12,KY,"Owensboro, KY","Hopkins County, KY",21,107,101
11-12,KY,"Owensboro, KY","Mccracken County, KY",21,145,822
11-12,KY,"Owensboro, KY","Union County, KY",21,225,219
11-12,KY,"Owensboro, KY","Warren County, KY",21,227,338
11-12,LA,"Alexandria, LA","Avoyelles Parish, LA",22,9,1043
11-12,LA,"Alexandria, LA","Natchitoches Parish, LA",22,69,397
11-12,LA,"Alexandria, LA","Rapides Parish, LA",22,79,1082
11-12,LA,"Baton Rouge, LA","Ascension Parish, LA",22,5,1041
11-12,LA,"Baton Rouge, LA","Assumption Parish, LA",22,7,248
11-12,LA,"Baton Rouge, LA","East Baton Rouge Parish, LA",22,33,7658
11-12,LA,"Baton Rouge, LA","Iberville Parish, LA",22,47,500
11-12,LA,"Baton Rouge, LA","Pointe Coupee Parish, LA",22,77,695
11-12,LA,"Baton Rouge, LA","St. James Parish, LA",22,93,245
